채용 링크,회사 이름,채용 직군,경력,관련 직군,학력,근무 지역,근무 형태,채용 내용(이미지),채용 내용(간단 설명),채용 내용(세부 내용)
https://zighang.com/recruitment/6fab7744-f7a3-4e69-aeee-b8569797e260,토스뱅크,Full Stack Developer,경력 무관,"백엔드, 프론트엔드",학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/26a344b0-602a-4b13-983f-9d6f741331c9,AWS,Cloud Engineer (Big Data),1년차 이상,"클라우드, 데브옵스/인프라, 소프트웨어 엔지니어",학사,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/3dfbc96a-c196-4cf2-a40d-7377a940a7db,AWS,소프트웨어 엔지니어 (Amazon Connect Telecom),5년차 이상,"소프트웨어 엔지니어, 백엔드",학사,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/0b5dbc0a-4f39-41cf-91c8-9cef4e74975f,크래프톤,주니어 렌더링 엔지니어,2년차 이상,"게임개발(클라이언트), 그래픽스",학사,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/b95369da-71cd-442f-bd02-ea5db4849d20,크래프톤,Anti-Cheat 운영담당자,경력 무관,"게임운영, 보안",학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/b9ab54ad-7325-4e4f-be9b-c6ee5f3df4e5,SOOP,LIVE 방송 시스템 개발,3년차 이상,"백엔드, 소프트웨어 엔지니어",학력 무관,경기,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/471752b8-36a8-4670-ad30-760bca20f77f,스마일게이트 홀딩스,플랫폼 DevOps 엔지니어,5년차 이상,"데브옵스/인프라, 클라우드",학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/ffa7c4d7-12e1-4ad0-a6d0-e294f5f73bcb,스마일게이트 알피지,백엔드 개발 (게임운영툴) 엔지니어,4년차 이상,"게임운영, 백엔드",학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/7cfe5352-d7ab-4705-b32b-f3d69f0bafd7,카카오페이,프론트엔드개발자 - 마이데이터서비스,5년차 이상,프론트엔드,학력 무관,경기,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/0b347bdd-a682-4f00-ac05-336ae3aafbc2,카카오페이,서버개발자 - 플랫폼서비스파티,3년차 이상,"백엔드, 소프트웨어 엔지니어",학력 무관,경기,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/3bf1e160-34f0-4f88-b711-3c4b25a0e3cb,카카오페이,서버개발자-마케팅테크팀,5년차 이상,"백엔드, 소프트웨어 엔지니어",학사,경기,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/4b0cd138-5243-42b1-91a9-2601265357d6,카카오페이,네트워크 엔지니어,3년차 이상,"기술지원, 데브옵스/인프라",학력 무관,경기,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/aabfa73a-9fdb-4c75-b4e8-6063c186ea24,PFCT,iOS Engineer,2년차 이상,iOS,학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/e26d412b-79c6-4933-b1e5-476774ec7f3e,SK C&C,SAP ERP운영/개발담당자영입,3년차 이상,"ERP, 소프트웨어 엔지니어, 기술지원",학력 무관,"서울, 경기, 인천",정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/822f34bd-090d-4085-b67e-eabe61eb4e02,PFCT,Android Engineer,2년차 이상,안드로이드,학력 무관,서울,정규직,https://zighang.com/header_logo.svg,logo,
https://zighang.com/recruitment/b871f918-5084-4688-ab9a-fff9e5e00117,카카오페이,QA- 페이서비스 QA 담당자,5년차 이상,QA 엔지니어,학사,경기,정규직,https://zighang.com/header_logo.svg,logo,
