['solidity']	['dapp', 'core']
['data', 'storage', 'service', 'staging', 'area', 'lake', 'warehouse', 'marts', 'operational', 'stores', 'wrangling', 'cleansing', 'etl', 'elt', 'cs', 'ce', 'redshift', 'big', 'query', 'dm', 'bi', 'consumer', 'dba', 'rdbms', 'aws', 'cloud', 'glue', 'dataflow', 'workflow', 'culture', 'fit', 'nsuslab']	['dba', 'rdbms', 'aws', 'cloud', 'data', 'warehouse', 'glue', 'dataflow', 'workflow']
['discovery', 'mau', 'dau', 'full', 'stack', 'engineer', 'ceo', 'core', 'value', 'levit', 'wide', 'impact', 'speed', 'with', 'strategy', 'team', 'html', 'css', 'react', 'vue', 'kotlin', 'boot', 'node.js', 'ux']	[]
['sdk', 'rdparty', 'native', 'programming', 'objective', 'macos', 'air', 'extension', 'culture', 'fit', 'nsuslab']	['macos', 'air', 'native', 'extension']
['payment', 'team', 'stakeholder', 'flutter', 'provider', 'bloc', 'getx', 'kotlin', 'restful', 'api', 'git', 'ios', 'android', 'native', 'ui', 'ci', 'cd', 'cryptography', 'pki', 'culture', 'fit', 'nsuslab']	['ui', 'ci', 'cd', 'cryptography', 'pki']
['rule', 'ocean', 'moba', 'https', 'neptuneco', 'mpany.kr', 'engine', 'architecture']	['aws', 'azure', 'git', 'backend']
['oop', 'iocp', 'socket', 'design', 'pattern', 'refactoring', 'rdbms', 'nosql', 'aws', 'azure', 'git', 'backend', 'culture', 'fit', 'nsuslab']	['ux', 'conflunce']
['frontend', 'ui', 'template', 'ux', 'conflunce', 'culture', 'fit', 'nsuslab']	['git']
['cocos', 'creator', 'html', 'ui', 'ux', 'git', 'culture', 'fit', 'nsuslab']	['android', 'ios', 'aws', 'ui', 'solid', 'ux', 'rive', 'animation']
['plus', 'team', 'global', 'poker', 'game', 'web', 'business', 'online', 'offline', 'app', 'flutter', 'art', 'designer', 'ui', 'ux', 'android', 'ios', 'aws', 'solid', 'rive', 'animation', 'culture', 'fit', 'nsuslab']	['websocket', 'aws', 'cloud', 'infrastructure']
['rest', 'api', 'net', 'core', 'culture', 'fit', 'nsuslab']	['ci', 'cd', 'aws', 'ui', 'figma']
['game', 'backend', 'platform', 'user', 'wallet', 'system', 'api', 'integration', 'data', 'restfup', 'message', 'queue', 'appserver', 'socket', 'base', 'client', 'session', 'server', 'status', 'kotlin', 'rdb', 'nosql', 'websocket', 'aws', 'cloud', 'infrastructure', 'culture', 'fit', 'nsuslab']	['aws', 'serverless', 'llm']
['ux', 'ui', 'agile', 'ios', 'android', 'jest', 'detox', 'restful', 'api', 'apple', 'app', 'store', 'google', 'play', 'git', 'ci', 'cd', 'aws', 'figma', 'culture', 'fit', 'nsuslab']	['modern', 'tdd', 'cloud', 'infrastructure']
['platform', 'domain', 'bff', 'api', 'server', 'backend', 'msa', 'admin', 'system', 'ux', 'conflunce', 'culture', 'fit', 'nsuslab']	['api', 'aws', 'argocd', 'ci', 'cd']
['ai', 'endpoint', 'api', 'llm', 'langchain', 'rag', 'agent', 'sql']	['linux']
['wallet', 'transaction', 'integration', 'jvm', 'rest', 'api', 'modern', 'tdd', 'cloud', 'infrastructure', 'culture', 'fit', 'nsuslab']	['dynamodb', 'aws', 'cloud', 'native']
['boot', 'restful', 'api']	['iot', 'ota', 'over', 'air']
['service', 'container', 'domain', 'network', 'net', 'backend']	['optical', 'tracking', 'system', 'electromagnetic', 'point', 'cloud', 'mesh', 'processing']
['mau', 'rest', 'api']	['scm', 'srm', 'msa', 'ai']
['ai', 'naas', 'nutrition', 'service', 'enterprise', 'arr', 'ces', 'innovation', 'awards', 'ceo', 'ota', 'over', 'air', 'iot', 'ui', 'ux', 'restful', 'api', 'git']	['agile']
['ar', 'registration', 'point', 'cloud', 'surfaceregistration', 'medical', 'image', 'multi', 'modality', 'non', 'rigid']	['entity', 'framework', 'database', 'signalr', 'web', 'socket', 'aws', 'azure', 'read', 'time', 'applicatoin']
['api', 'dynamodb', 'streamlit', 'ml', 'terraform', 'aws', 'framework']	['redshift', 'bigquery', 'mlops']
['saas', 'devops', 'azure', 'aws', 'ci', 'cd']	['msa', 'aws']
['sql', 'data', 'analyst', 'growth', 'da', 'scientist', 'engineer', 'bigquery', 'lake', 'google', 'cloud', 'test', 'pm', 'business', 'owner', 'customer', 'lifetime', 'value', 'retention', 'cohort', 'analsis', 'ga']	['react.js', 'tanstack', 'query', 'vanilla', 'extract', 'webpack', 'vite', 'nx', 'pr', 'actions', 'eslint', 'prettier']
['plus', 'team', 'global', 'poker', 'game', 'web', 'business', 'online', 'offline', 'wsop', 'client', 'api', 'websocket', 'asp.net', 'mvc', 'core', 'http', 'rest', 'entity', 'framework', 'database', 'signalr', 'socket', 'aws', 'azure', 'read', 'time', 'applicatoin', 'culture', 'fit', 'nsuslab']	['android', 'sdk', 'clean', 'architecture', 'ddd']
[]	['ar', 'vr', 'machine', 'learning', 'deep', 'ios', 'frontend']
['framework', 'restful', 'api', 'rdbms', 'ci', 'cd', 'msa', 'aws', 'culture', 'fit', 'nsuslab']	['machine', 'learning', 'deep', 'ar', 'vr', 'ios', 'android']
['react', 'ux', 'ui']	['api', 'webcomic']
['android', 'native', 'sdk', 'next.js', 'hybrid']	['api', 'aws', 'azure']
['android', 'native', 'sdk', 'next.js', 'hybrid', 'coroutine', 'rxjava']	['csp', 'aws', 'gcp', 'azure', 'sddc', 'sdn']
['gradle', 'data', 'binding', 'mvvm', 'rxjava', 'realm', 'room', 'offline', 'first', 'app', 'android', 'ios', 'web', 'ui', 'application', 'legacy']	['erp', 'nw']
['ai', 'ios', 'androidos', 'avfoundation', 'coregraphics', 'corevideo', 'coreimage', 'coreaudio', 'imageio', 'ffmpeg', 'visual', 'effects', 'macos', 'vulkan', 'webgl']	['node', 'js', 'express', 'kuerbernetes', 'aws', 'gcp', 'azure']
['pm', 'backend', 'node.js', 'server']	['react']
['msp', 'sre', 'pm', 'lsp']	['ui', 'ux']
['np', 'team', 'igaming', 'agent', 'affiliate', 'asp.net', 'core', 'api', 'ux', 'aws', 'azure', 'culture', 'fit', 'nsuslab']	['quicksight']
['ca']	['aws']
['mobile', 'native', 'app', 'flutter', 'web', 'react', 'js', 'next', 'back', 'end', 'kotlin', 'framework', 'jpa', 'jooq', 'front', 'next.js', 'cloud', 'infra', 'aws', 'ecs', 'database', 'tool', 'google', 'workspace', 'macbook', 'application', 'html', 'css', 'ts', 'vue']	['edtech', 'ml', 'lms', 'aws', 'gcp', 'llm', 'prompt', 'engineering', 'rag', 'quantization', 'pruning', 'reinforcement', 'learning', 'with', 'human', 'feedback', 'rlhf', 'acl', 'neurips', 'icml', 'iclr', 'ai']
['nw', 'application', 'hw', 'sw', 'dr', 'windows']	['kubanetes', 'aws', 'dbms']
['ha', 'scalability', 'consistency', 'gcp', 'git', 'ci', 'cd', 'restful', 'api', 'rdbms', 'nosql']	['service', 'mesh', 'compliance', 'premise', 'idp', 'internal', 'developer', 'platform', 'e.g.', 'backstage']
['wms', 'boot', 'jpa', 'querydsl', 'db']	['ui', 'ux', 'canvas', 'svg', 'figma', 'confleunce']
['ui', 'ux', 'next', 'js', 'aws']	['web', 'pl']
['vue.js', 'sdk', 'react', 'pm', 'cs', 'computer', 'science', 'html', 'css', 'pure', 'es', 'vue']	['backend', 'ci', 'cd', 'git', 'infrastructure', 'code', 'iac']
['aws', 'gcp']	['flutter']
['dbpia', 'krpia', 'ai', 'idea', 'citeasy', 'rag', 'llm', 'nlp', 'transformer', 'ml', 'pandas', 'numpy', 'matplotlib']	['srs', 'sdd']
['dbpia', 'krpia', 'ai', 'idea', 'citeasy', 'poc', 'front', 'end', 'cross', 'platform', 'idc', 'aws', 'mvc', 'boot', 'restful', 'api', 'git', 'svn', 'sql', 'devops', 'ci', 'cd', 'pipeline']	['emr', 'application']
['vue.js', 'react', 'flutter', 'native', 'aws']	['cloud', 'golang', 'framework', 'frontend']
['data', 'driven', 'kpi', 'deep', 'dive', 'content', 'aws', 'gcp', 'bigquery', 'studio', 'jupyter', 'notebook', 'etc', 'postgredb', 'database', 'tool', 'google', 'workspace', 'macbook', 'sql', 'raw']	['unrealengine', 'sketchup', 'blender']
['server', 'mobile', 'app', 'api', 'git']	['linux', 'mac', 'os', 'ci', 'cd', 'crm', 'emr']
['llm', 'gpt', 'transformer', 'fine', 'tuning', 'nlp', 'poc', 'proof', 'concept', 'clipo', 'ml', 'ops', 'ai', 'bert', 'tokenization', 'bleu', 'rouge', 'edtech']	['solana', 'evm', 'substrate', 'web', 'js', 'py', 'back', 'end', 'rest', 'api', 'react', 'next.js', 'front']
['aws', 'rds', 'db', 'ecs', 'dbms', 'ci', 'cd']	['qa', 'test', 'istqb', 'csts', 'api', 'sql', 'checkly']
['ci', 'cd', 'lgtm', 'loki', 'tempo', 'mimir', 'terraform', 'gitops', 'iac', 'compliance', 'aws', 'node.js', 'e.g.']	['ai']
['tps', 'tooldi', 'ui', 'ux', 'ai', 'api', 'http', 'ooldi.com', 'react.js', 'next.js', 'eslint', 'prettier', 'git', 'aws', 'ec', 'agile']	['gdb', 'crash', 'git']
['kt', 'sk', 'ls', 'nh', 'mg', 'sm', 'backend', 'mariadb', 'aws']	['dynamodb', 'aws']
['qa', 'qc', 'web', 'end']	['emr', 'jupyter', 'power', 'bi', 'datakitchen']
['product', 'ux', 'ui', 'html', 'css', 'scss', 'git', 'url']	['monorepo', 'turborepo', 'lerna', 'yarn', 'workspace']
['digital', 'transformation', 'aws', 'amazon', 'eks']	['react', 'next', 'js', 'framework', 'mongo', 'db', 'nosql', 'mvp']
['flutter']	['mvvm', 'signalr', 'xaml', 'custom', 'control']
['tl', 'technical', 'leader', 'kotlin', 'gradle', 'boot', 'jpa', 'eureka', 'openfeign', 'amazon', 'aurora', 'elk', 'stack', 'qa']	['aws', 'oauth', 'html', 'eslint', 'custom', 'hook', 'sentry', 'intermediate']
['emr', 'electric', 'medical', 'record', 'windows', 'client', 'wpf', 'mvvm', 'pattern', 'xaml', 'ui', 'library', 'devexpress', 'telerik', 'custom', 'control', 'net', 'framework', 'server', 'restful', 'git']	['intermediate']
['slowtalk', 'ai', 'gps', 'iot', 'slow', 'platform', 'back', 'end', 'engineer', 'devops', 'msa', 'architecture']	['three.js', 'msa', 'bff', 'backend', 'frontend', 'computer', 'vision', 'graphics', 'mvp']
['unreal', 'engine', 'ablur']	['batch', 'sdlc', 'mvp']
['crm', 'backend', 'rest', 'api', 'aws', 'rdbms', 'maria', 'orm', 'git']	['ci', 'cd', 'mvp', 'bff', 'backend', 'frontend']
['ethereum', 'solana', 'cross', 'chain', 'solidity', 'hardhat', 'foundry', 'blockchain', 'public', 'hash']	['dicom', 'rendering', 'shader', 'volume']
