Category,Token,Matched With
language,got,go
language,goland,golang
language,javas,java
language,javafx,java
language,javasript,javascript
language,javscript,javascript
language,javavscript,javascript
language,javascipt,javascript
language,javasscript,javascript
language,javascrpit,javascript
language,javacript,javascript
language,javsscript,javascript
language,jsm,js
language,jsi,js
language,jsp,js
language,jsx,js
language,per,perl
language,ph,php
language,pyhton,python
language,pyton,python
language,pythonic,python
language,pyhon,python
language,pyhthon,python
language,pytnon,python
language,rail,rails
language,raise,rails
language,rus,rust
language,scale,scala
language,scada,scala
language,scalab,scala
language,swiftmr,swift
language,switft,swift
language,swit,swift
language,swiftui,swift
language,tsp,ts
language,tsx,ts
language,tyescript,typescript
language,typescrpit,typescript
language,typesciprt,typescript
language,typesrcipt,typescript
language,typscript,typescript
frameworks,angluar,angular
frameworks,angularjs,angular
frameworks,backbone,backbonejs
frameworks,codelgniter,codeigniter
frameworks,eco,echo
frameworks,electra,electron
frameworks,electronjs,electron
frameworks,electronic,electron
frameworks,electronics,electron
frameworks,expression,express
frameworks,expressions,expressjs
frameworks,flake,flask
frameworks,flash,flask
frameworks,gi,gin
frameworks,grpcio,grpc
frameworks,grp,grpc
frameworks,kosa,koa
frameworks,ko,koa
frameworks,lalavel,laravel
frameworks,laravle,laravel
frameworks,mentor,meteor
frameworks,meter,meteor
frameworks,nest,nestjs
frameworks,next,nextjs
frameworks,nuxt,nuxtjs
frameworks,rail,rails
frameworks,raise,rails
frameworks,ra,ray
frameworks,reactive,reactnative
frameworks,reactor,reactorkit
frameworks,relayer,relay
frameworks,speak,spark
frameworks,springdoc,spring
frameworks,sping,spring
frameworks,spirng,spring
frameworks,sprint,spring
frameworks,sprting,spring
frameworks,springboottest,springboot
frameworks,sveltekit,svelte
frameworks,tailwindcss,tailwind
libraries,graphol,graphql
libraries,graph,graphql
libraries,pytorh,pytorch
libraries,pytouch,pytorch
libraries,reach,react
libraries,reactor,react
libraries,reactive,reactivex
libraries,reudx,redux
libraries,reduc,redux
libraries,redu,redux
libraries,styledcompinents,styled-components
libraries,temsorflow,tensorflow
libraries,tfs,tf
libraries,tft,tf
libraries,touch,torch
libraries,vue,vuex
tools,agi,agit
tools,argo,argocd
tools,babel,bazel
tools,cassandra,cassandradb
tools,casandra,cassandradb
tools,cep,ceph
tools,ceh,ceph
tools,confluent,confluence
tools,confleunce,confluence
tools,conflunce,confluence
tools,conference,confluence
tools,confluece,confluence
tools,confidence,confluence
tools,discover,discord
tools,dockerize,docker
tools,drones,drone
tools,droid,druid
tools,elasticache,elasticsearch
tools,elasticcache,elasticsearch
tools,elasticserach,elasticsearch
tools,flows,flow
tools,fluent,fluentd
tools,gc,gcp
tools,gi,git
tools,githb,github
tools,hem,helm
tools,hiveql,hive
tools,ision,istio
tools,kakao,kafka
tools,kafak,kafka
tools,kafa,kafka
tools,kubernates,kubernetes
tools,kubernets,kubernetes
tools,kuberentes,kubernetes
tools,kuberntes,kubernetes
tools,kubenretes,kubernetes
tools,kubanetes,kubernetes
tools,kubenetes,kubernetes
tools,kuberneties,kubernetes
tools,kubemetes,kubernetes
tools,kuerbernetes,kubernetes
tools,liner,linkerd
tools,linker,linkerd
tools,linkedin,linkerd
tools,look,looker
tools,looper,looker
tools,mono,mongo
tools,mongdb,mongodb
tools,monogdb,mongodb
tools,openmesh,openebs
tools,open,opengl
tools,opencl,opengl
tools,openal,opengl
tools,opengles,opengl
tools,oracle,oracledb
tools,packet,packer
tools,pack,packer
tools,playwrite,playwright
tools,postgis,postgres
tools,postgre,postgres
tools,postgredb,postgres
tools,postgressql,postgresql
tools,postresl,postgresql
tools,puppet,puppeteer
tools,rabbit,rabbitmq
tools,rance,rancher
tools,range,ranger
tools,sol,solr
tools,solver,solr
tools,sonaqube,sonarqube
tools,supertest,superset
tools,table,tableau
tools,train,trino
tools,unit,unity
tools,units,unity
tools,zeplin,zeppelin
