id,combined_analyzed_json,preferredExperience_analyzed_json
29553,"[""solidity"", ""nodejs"", ""typescript""]","[""dapp"", ""core""]"
27062,"[""data"", ""storage"", ""service"", ""staging"", ""area"", ""lake"", ""warehouse"", ""marts"", ""and"", ""operational"", ""stores"", ""wrangling"", ""cleansing"", ""etl"", ""elt"", ""cs"", ""ce"", ""redshift"", ""big"", ""query"", ""snowflake"", ""dm"", ""bi"", ""consumer"", ""dba"", ""rdbms"", ""aws"", ""cloud"", ""spark"", ""flink"", ""glue"", ""dataflow"", ""airflow"", ""workflow"", ""culture"", ""fit"", ""nsuslab""]","[""dba"", ""rdbms"", ""aws"", ""cloud"", ""data"", ""warehouse"", ""spark"", ""flink"", ""glue"", ""dataflow"", ""airflow"", ""workflow""]"
29552,"[""discovery"", ""mau"", ""dau"", ""full"", ""stack"", ""engineer"", ""ceo"", ""core"", ""value"", ""levit"", ""wide"", ""impact"", ""speed"", ""with"", ""strategy"", ""team"", ""html"", ""css"", ""typescript"", ""javascript"", ""react"", ""vue"", ""angular"", ""kotlin"", ""java"", ""spring"", ""boot"", ""node.js"", ""ux""]",[]
15689,"[""sdk"", ""rdparty"", ""native"", ""programming"", ""java"", ""objective"", ""c"", ""c++"", ""macos"", ""air"", ""extension"", ""culture"", ""fit"", ""nsuslab""]","[""macos"", ""air"", ""native"", ""extension"", ""c++""]"
29393,"[""payment"", ""team"", ""stakeholder"", ""flutter"", ""provider"", ""bloc"", ""getx"", ""swift"", ""kotlin"", ""restful"", ""api"", ""git"", ""ios"", ""android"", ""native"", ""ui"", ""ci"", ""cd"", ""cryptography"", ""pki"", ""culture"", ""fit"", ""nsuslab""]","[""ui"", ""ci"", ""cd"", ""cryptography"", ""pki""]"
29527,"[""rule"", ""the"", ""ocean"", ""moba"", ""https"", ""neptuneco"", ""mpany.kr"", ""unity"", ""engine"", ""c#"", ""architecture"", ""it""]",[]
22368,"[""c#"", ""oop"", ""iocp"", ""socket"", ""design"", ""pattern"", ""refactoring"", ""rdbms"", ""nosql"", ""c++"", ""aws"", ""azure"", ""git"", ""backend"", ""culture"", ""fit"", ""nsuslab""]","[""c++"", ""aws"", ""azure"", ""git"", ""backend""]"
15704,"[""frontend"", ""ui"", ""template"", ""ux"", ""jira"", ""conflunce"", ""culture"", ""fit"", ""nsuslab""]","[""ux"", ""jira"", ""conflunce""]"
28468,"[""cocos"", ""creator"", ""html"", ""ui"", ""ux"", ""javascript"", ""git"", ""culture"", ""fit"", ""nsuslab""]","[""git""]"
27061,"[""plus"", ""team"", ""global"", ""poker"", ""game"", ""web"", ""o"", ""business"", ""online"", ""to"", ""offline"", ""app"", ""flutter"", ""art"", ""designer"", ""ui"", ""ux"", ""android"", ""ios"", ""aws"", ""github"", ""solid"", ""lottie"", ""rive"", ""animation"", ""culture"", ""fit"", ""nsuslab""]","[""android"", ""ios"", ""aws"", ""github"", ""ui"", ""solid"", ""ux"", ""lottie"", ""rive"", ""animation""]"
