id,combined_Languages,preferred_Languages,combined_Frameworks,preferred_Frameworks,combined_Libraries,preferred_Libraries,combined_Tools,preferred_Tools
29332,없음,"['Go', 'Python']",없음,없음,['gRPC'],없음,없음,"['Elasticsearch', 'Redis', 'AWS', 'MySQL', 'Kubernetes']"
10097,['Python'],없음,"['Spring', 'FastAPI', 'Flask']",없음,없음,없음,"['Docker', 'AWS', 'Terraform', 'MySQL']",없음
29374,없음,없음,없음,없음,없음,없음,없음,['Docker']
22378,['Java'],없음,['Spring'],없음,없음,없음,없음,['AWS']
27375,없음,없음,없음,없음,없음,없음,"['AWS', 'Azure', 'Kubernetes']",없음
29375,"['Swift', 'Python']",없음,없음,없음,없음,없음,없음,없음
29493,"['Python', 'Java']",없음,없음,없음,없음,없음,"['Docker', 'Kubernetes']",없음
28411,없음,"['R', 'Python']",없음,없음,없음,없음,['Tableau'],없음
29542,없음,없음,없음,없음,없음,없음,['Git'],없음
29492,"['Python', 'Java']",없음,없음,없음,없음,없음,"['Docker', 'GCP', 'Kubernetes', 'AWS']",없음
29539,['Java'],없음,없음,없음,없음,없음,없음,없음
22379,없음,['TypeScript'],['React'],없음,없음,없음,없음,['Slack']
29540,없음,없음,없음,없음,없음,없음,없음,없음
29538,없음,없음,없음,없음,없음,없음,없음,없음
29537,없음,없음,없음,없음,없음,없음,['PostgreSQL'],없음
29536,없음,없음,없음,없음,없음,없음,없음,"['AWS', 'Azure', 'GCP']"
29534,"['R', 'Python']","['R', 'Python']",없음,없음,없음,없음,"['MySQL', 'AWS', 'GCP', 'Jupyter', 'MongoDB']",['Tableau']
29533,"['Python', 'Kotlin', 'Dart', 'JavaScript', 'Java']",없음,"['Angular', 'Spring', 'React']",없음,없음,없음,"['AWS', 'MySQL', 'MongoDB']",없음
29501,없음,없음,없음,['Express'],없음,없음,"['Docker', 'GCP', 'Kubernetes', 'Git']","['Docker', 'AWS', 'Azure', 'MySQL', 'GCP', 'PostgreSQL']"
29541,없음,없음,없음,없음,없음,없음,없음,없음
29532,없음,없음,없음,없음,없음,없음,없음,없음
28571,['Java'],없음,['Spring Boot'],['React'],없음,없음,['MySQL'],"['Docker', 'Redis']"
29531,없음,없음,없음,없음,없음,없음,['AWS'],없음
29535,없음,없음,없음,없음,없음,없음,없음,없음
29529,['Java'],없음,"['Spring', 'Spring Boot']",없음,없음,없음,"['AWS', 'Git']",없음
29528,"['JavaScript', 'TypeScript']",없음,"['Vue.js', 'Angular', 'React']",없음,없음,['gRPC'],없음,없음
29530,없음,없음,['TensorFlow'],없음,"['Pandas', 'Matplotlib', 'NumPy', 'PyTorch', 'TensorFlow']",없음,없음,없음
26913,없음,없음,없음,없음,없음,없음,없음,없음
28586,['Java'],없음,"['Flutter', 'Vue.js', 'React']",없음,없음,없음,['AWS'],없음
28024,['Java'],없음,없음,없음,없음,없음,['AWS'],없음
29525,없음,없음,없음,없음,없음,없음,['Git'],['AWS']
