id,combined_Languages,preferred_Languages,combined_Frameworks,preferred_Frameworks,combined_Libraries,preferred_Libraries,combined_Tools,preferred_Tools,combined_analyzed,preferredExperience_analyzed
29332,없음,"['Go', 'Python']",없음,없음,['gRPC'],없음,없음,"['Elasticsearch', 'Redis', 'AWS', 'MySQL', 'Kubernetes']","['이상', '책임감', '미션', '환경', '정산', 'API', '해법', '공통', '서버', '고민', '코드', '해결', '사용', '설계', '개발', '안정', '가능', '스킬', '재발', '자동', '이해', '후', '모델', '최적화', '작성', '서비스', '결제', '광고', '테스트', '통신', '크리티컬', '개선', '언어', '지속', '프로그래밍', '트래픽', '원활', 'REST', '커뮤니케이션', '인증', '적립', '문제', '방지', 'gRPC', '운영', '플랫폼', '할당', 'MAU', '참여', '규모']","['비즈니스', 'Elasticsearch', '기술', '경험', 'Redis', '라이브', '환경', 'native', '수준', '해결', 'DynamoDB', '사용', '헥사고날', '설계', 'cloud', '이해', '서비스', 'AWS', '아키텍처', '적용', 'Kubernetes', '트래픽', '문제', 'Python', '운영', 'Go', 'MySQL', '규모', '소프트웨어']"
10097,['Python'],없음,"['Spring', 'FastAPI', 'Flask']",없음,없음,없음,"['Docker', 'AWS', 'Terraform', 'MySQL']",없음,"['백', 'ML', '경험', '시대', '존재', '고객', 'Terraform', 'API', 'FastAPI', '역량', '아키텍쳐', '흐름', '내외', '방법', '비용', '머신', '코드', 'DynamoDB', '사용', '고려', '개발', '리서치', '팀', '제품', '이해', '측정', '데이터', '모델', 'Spring', '작성', '테스트', '서비스', '광고', 'Docker', '엔드', '러닝', 'AWS', '통합', '최적', 'Streamlit', 'Flask', '백엔드 개발', '경력', '주요', '가치', '파이프라인', '프로덕트', 'Airflow', 'Python', '운영', 'framework', '프라이버시', '제공', 'MySQL', '구축', '시스템', '전달', '생태', '이용', '데이터 과학', '성과', '용이', '기술']","['변화', '해결', '경험', '사고', '고객', '문제', '데이터 분석', '이해', '마케팅', '통계', '기반', '정량', '데이터', '중심', '조직', '수준', '방법', '작업']"
29374,없음,없음,없음,없음,없음,없음,없음,['Docker'],"['관리', '경험', '진행', '이상', '추가', 'service', '졸업', '개발', '데이터', '학과', '의료 영상', '보유', 'NET', '언어', '보수', 'network', '학사', '작업', 'container', 'Backend', '유지', '관련', 'domain', '동작']","['S', '종합', '시', '이상', '경험', '지원', '근로', '기념일', '제도', '생활', '미래', '환경', '스낵', '생일', '수평', '계열', '시간', '회사', '부탁', '개인', '직무', 'A', '자유', '구성', '휴가', '실무', '개발자', '듀얼', '분위기', 'Linux', '유사', '결혼', '직원', '연차', '모니터', '업무', '차', 'Docker', '편안', '건강', '노력', '유연', '최적', '리프레시', '지식', '기본', 'I', '센터', '공간', 'K', '맥북', '운영', '제공', '음료', '데스크탑', '휴식', '부분', '반', '동일', '검진']"
22378,['Java'],없음,['Spring'],없음,없음,없음,없음,['AWS'],"['관리', '여정', '경험', '최종', '검사', '국내', '자리', '이후', '오픈', '포함', '도전', '해결', '고려', '설계', '활용', '개발', '안정', '간', 'Spring', '코딩', '공학', '지금', '엔드', '통합', '엔지니어링', '성능', 'B', '앞', '주도', '테이블', '미식', '점주', '외식업', '관련', '전용', '체크', '리팩토링', '이상', '앱', '전공', '전문', '바탕', '자리매김', 'API', '모델링', '합류', '인성', '분', '실시', '구현', '성장', '테스트', 'RESTful', '컴퓨터', '도움', 'MSA', '픽업', '개선', 'B2C', '트래픽', '레퍼런스', '운영', '시장', '기여', '생태', '전환', '앞장', '레스토랑', '규모', '차례', '처우', '생활', '캐치', '고객', 'Java', '접수', '브랜드', '사용', '채용', '워크', '효율', '디지털', '사람', '포스', '전반', '품질', '자료', '모니터링', 'C', '주요', '여부', '대기', '시작', '입사', '수년', '합격', '레거시', '모두', 'DB', '백', '확장', '론칭', '세상', '예약', '어플리케이션', '혁신', '노하우', '외식', '처리', '실무', '웨이팅', '서비스', '업무', '보유', '서류', '최적', '백엔드 개발', '매장', '점진', '기준', '프레임', '플랫폼', '솔루션', '결정', '탄생', '인터뷰', '협의', '참고', '시스템', '소프트웨어']","['인프라', '백', 'S', '경험', 'DDD', 'EDA', '예약', '기반', '지향', '발견', 'Kafka', '설계', '활용', '개발', '처리', '이해', '데이터', '서비스', '커머스', '엔드', 'MSA', 'AWS', '개선', '아키텍처', '적용', '문제', 'K', '운영', '주도', '객체', '고가용성', '시스템', '실시간', '동기']"
27375,없음,없음,없음,없음,없음,없음,"['AWS', 'Azure', 'Kubernetes']",없음,"['인프라', '관리', '경험', '이상', '지원', '환경', '애플리케이션', '역량', '기반', '위', '정책', '학위', 'CD', '설계', '활용', '개발', '구성', 'SaaS', 'Azure', '자동화', '최소', '자동', '보안', '재화', '요건', '최적화', '컨테이너', '클라우드', '서비스', '취득자', '업무', '배포', '자격', '자체', '해당', 'AWS', '최적', '아키텍처', 'Kubernetes', '도구', 'DevOps', '프로', '학사', '파이프라인', '비전', '운영', 'CI', '솔루션', '수립', '클러스터', '구축']","['통자', '경험', '영어', '프로젝트', '이해', '구매', 'SCM', '능', 'SRM', '변화', '보유', 'MSA', 'AI', '동향', 'IT', '산업', '운영', '시장', '관심', '시스템', '전환', '관련']"
29375,"['Swift', 'Python']",없음,없음,없음,없음,없음,없음,없음,"['석사', '이상', '경험', '계열', '경험자', 'surfaceregistration', 'modality', '사용', '졸업', '직무', 'cloud', 'or', 'Image', '프로젝트', '정합', '실무', 'registration', '구현', 'point', '학과', '유사', 'Registration', '수행', 'Swift', '언어', 'rigid', 'Medical', 'C', '리뷰', '연구', 'Python', 'non', 'AR', 'multi', '논문', '동일', '관련']","['S', '종합', '시', '경험', '진행', '지원', '근로', '기념일', '제도', '생활', '미래', '환경', '스낵', '라이브러리', '생일', '수평', '시간', '회사', '부탁', '개인', '자유', '사용', 'A', 'Electromagnetic', '개발', '구성', 'Tracking', '휴가', '프로젝트', '정합', '개발자', '듀얼', '분위기', '결혼', 'Mesh', 'Cloud', '의료 영상', '직원', 'Optical', '업무', '연차', '차', '모니터', 'System', '편안', '노력', '건강', '유연', '최적', '리프레시', 'Point', 'I', '센터', '공간', 'K', '맥북', '운영', '제공', '음료', '데스크탑', 'Processing', '휴식', '부분', '반', '관련', '검진']"
29493,"['Python', 'Java']",없음,없음,없음,없음,없음,"['Docker', 'Kubernetes']",없음,"['확장', '이상', '경험', '캐치', '환경', '원스', '체계', '기반', 'Java', 'kafka', '향상', '수집', '사용', '설계', '안정', '개발', '처리', '구성', '분', '효율', '가능', '이해', '레벨', '데이터', '분석', '클라우드', '전사', '보유자', '품질', '업무', '컴', '플라이', '발생', '보유', 'Docker', '수행', '통합', '개선', '언어', 'Kubernetes', '서빙', '지속', '엔지니어링', '프로그래밍', '경력', '모니터링', '이해도', '의사', '저장', '성능', '검증', '구성원', 'Airflow', '운영', 'Python', '플랫폼', '수립', '제공', '결정', '분야', '프로덕션', '테이블', '다양', '거버넌스', '표준', '구축', '시스템', '관련']","['이상', '경험', '협업', '데이터 분석', 'MLOps', 'BigQuery', '스트리밍', '사용', '구성', 'Redshift', '자동', '데이터', '보안', '서비스', '품질', '모니터링', '파이프라인', 'Snowflake', '검증', '가', '과학자', '실시간', '관련']"
28411,없음,"['R', 'Python']",없음,없음,없음,없음,['Tableau'],없음,"['관리', '여정', '핵심', '최종', '검사', 'Cohort', '경험', '국내', 'Test', '탐색', '데이터 분석', 'Value', '자리', '이후', '오픈', '도전', '방법', 'BigQuery', '해결', '설계', '활용', '지표', '프로젝트', '간', 'Analsis', '최소', 'Tableau', 'Redash', 'Business', '지금', '시각', '통합', '가설', 'Engineer', '문제', '해석', 'Google', '향', 'B', '앞', '주도', '테이블', '미식', 'Superset', '점주', '외식업', '조회', 'Owner', '논리', '전용', '체크', '종합', '툴', '이상', '전형', '앱', '전문', '바탕', 'PM', '목표', '협업', '자리매김', 'Retention', 'GA', '도출', '합류', '팀', '인성', 'Lake', '소속', '이해', '실시', '데이터', '성장', 'Cloud', '테스트', 'DA', '소개', '도움', '픽업', '개선', 'B2C', '유닛', '경력', '의사', '레퍼런스', '파트', '프로덕트', '검증', '설정', '운영', '시장', '게임', '이해관계자', '다양', 'SQL', '달성', '생태', '앞장', '레스토랑', '리딩', '차례', '처우', '생활', '캐치', '고객', '온라인', '직군', '수준', '접수', '브랜드', '사용', 'A', '채용', '진단', '공유', '디지털', '사람', 'Customer', 'Lifetime', '포스', '전반', '그라운드', '자료', 'Data', '주요', '여부', '대기', '시작', '가공', '핵', 'Growth', '입사', '구축', '수년', '합격', '모두', '백', '진행', '론칭', '세상', '환경', '도식', '모바일', '기반', '예약', '안내', '혁신', '노하우', '쿼리', '외식', '구성', '웨이팅', '사', '분석', '서비스', '커머스', '전사', '업무', '전', '서류', 'Analyst', '최적', '매장', '구성원', '기준', '사전', '플랫폼', '솔루션', '결정', '탄생', '인터뷰', 'Scientist', '협의', '참고', '쿼리테스트', '성과']","['경험', '데이터 분석', '행동', '마트', '기반', '조직', '목적', 'A', '설계', '활용', '데이터', '테스트', 'Agile', '실험', '유저', '이해도', '파이프라인', '향', '로그', 'B', 'Python', '스타트업', 'R', '구축', '관심', '문화']"
29542,없음,없음,없음,없음,없음,없음,['Git'],없음,"['완전', '관리', '여정', '경험', '태블릿', '네이버', '상황', '출신', '배합', '포함', '팀내', '극대', '회사', '원격', '편리', '해결', '설계', '고려', '활용', '개발', '안정', '질환', '디스', '창업', '능력', '준비', '프로페셔널', '지금', '통합', '융합', 'AI', '보수', '스택', 'P', 'NaaS', '성능', '문제', '원', '현재', '하반기', 'B', '자신', '제공', '분야', '디버깅', '서울대', '엔지니어', 'Service', '김앤장', '이용', '논리', '약사', 'Enterprise', 'a', '버전', '연속', '도입', '일', '이상', '지원', '키오스크', '앱', '방식', '협업', 'API', '단위', '통', '씨젠', '모드', '팀', '분', 'the', '세계', '개발자', '구현', '데이터', '생각', '통신', 'RESTful', '변화', '소개', '엔진', 'IoT', '완성도', '경력', '전문가', '체중', '런칭', '몸', '돌파', 'Awards', '연구진', 'CES', '기여', '안드로이드 개발', '기능', '맞춤', '기술', 'CEO', '상태', 'S', '가정', '최고', '프로토콜 설계', 'Git', '생활', '수상', 'OTA', '신도리코', '결과', '성분', '개인', 'A', '세일즈', '하드웨어', '채용', 'Air', '구매', '업데이트', '습관', '자', '시리즈', '변호사', '건강', '디바이스', '투자', '중심', '최대', 'UX', '모니터링', 'C', '안전', '열정', '주요', '나이', 'Innovation', '시작', '펜싱', '안드로이드', '유치', '구축', 'Over', '풀', '동료', '터치', '진행', '알', '이번', '환경', '약', 'H', '기반', '사용자', '연구원', '효과', '매니저', '혁신', '서버', '손', '장애', '누적', '제품', '알고케어', '인공 지능', '플래그십', '최적화', '분석', 'as', '서비스', '사', '배포', '업무', '전', '조합', '알고러', '최적', '학습', '클라이언트', '원활', 'UI', 'L', '제시', '채널', '이제', '나스', '영양제', '테크', '스타트업', '솔루션', '플랫폼', '영양', 'ARR', '케어', '헬스케어', '전시회', '설득', '유지', '친화', 'Nutrition', '소프트웨어']","['동료', '일', '경험', '이상', '책임감', '키오스크', '앱', '직관', '제안', '속도', '애플리케이션', '체계', '암호화', 'OTA', '사용자', '기반', '시간', '모드', '설계', '직무', '선호', '개발', '판단', 'Air', '프로젝트', 'the', '업데이트', '구현', '보안', '데이터', '사람', '생각', '초기', '필요', '연차', '주변', 'IoT', '피드백', '디바이스', '몰입', '통합', '지식', '인증', '문제', '레퍼런스', '고정', '헌신', '중요', '운영', '스타트업', '시장', '임팩트', '삶', '차지', '열심', '환영', '헬스케어', '시스템', '기능', '프로세스', 'Over']"
29492,"['Python', 'Java']",없음,없음,없음,없음,없음,"['Docker', 'GCP', 'Kubernetes', 'AWS']",없음,"['인프라', '관리', '이상', '경험', '캐치', '환경', 'Java', '경험자', '수집', '사용', '활용', '구성', '효율', 'GCP', '데이터', '클라우드', '품질', 'Docker', '발생', '보유', 'AWS', '언어', 'Kubernetes', '엔지니어링', '프로그래밍', '경력', '모니터링', '파이프라인', 'Airflow', 'Python', '플랫폼', '운영', '제공', '분야', '테이블', '다양', '구축', '표준', '관련']","['용량', '관리', '스트리밍', '모델링', '경험', '구성', '처리', '거버넌스', '마트', '데이터', '실시간', '품질']"
