name,img_src,category
agit,https://image.wanted.co.kr/optimize?src=https://static.codenary.co.kr/framework_logo/agit.png&w=100&q=90,협업툴
airflow,https://image.wanted.co.kr/optimize?src=https://static.codenary.co.kr/framework_logo/airflow.png&w=100&q=90,데이터
alamofire,https://image.wanted.co.kr/optimize?src=https://static.codenary.co.kr/framework_logo/alamofire.png&w=100&q=90,모바일
angular,https://image.wanted.co.kr/optimize?src=https://static.codenary.co.kr/framework_logo/angular.png&w=100&q=90,프론트엔드
ansible,https://image.wanted.co.kr/optimize?src=https://static.codenary.co.kr/framework_logo/ansible.png&w=100&q=90,데브옵스
apollo,https://image.wanted.co.kr/optimize?src=https://static.codenary.co.kr/framework_logo/apollo.png&w=100&q=90,백엔드
appium,https://image.wanted.co.kr/optimize?src=https://static.codenary.co.kr/framework_logo/appium.png&w=100&q=90,테스팅툴
arangodb,https://image.wanted.co.kr/optimize?src=https://static.codenary.co.kr/framework_logo/arangodb.png&w=100&q=90,데이터베이스
arcus,https://image.wanted.co.kr/optimize?src=https://static.codenary.co.kr/framework_logo/arcus.png&w=100&q=90,데이터베이스
argo cd,https://image.wanted.co.kr/optimize?src=https://static.codenary.co.kr/framework_logo/argocd.png&w=100&q=90,데브옵스
armeria,https://image.wanted.co.kr/optimize?src=https://static.codenary.co.kr/framework_logo/armeria.png&w=100&q=90,백엔드
asana,https://image.wanted.co.kr/optimize?src=https://static.codenary.co.kr/framework_logo/asana.png&w=100&q=90,협업툴
aws athena,https://image.wanted.co.kr/optimize?src=https://static.codenary.co.kr/framework_logo/awsathena.png&w=100&q=90,데이터
aws auroradb,https://image.wanted.co.kr/optimize?src=https://static.codenary.co.kr/framework_logo/awsauroradb.png&w=100&q=90,데이터베이스
aws codebuild,https://image.wanted.co.kr/optimize?src=https://static.codenary.co.kr/framework_logo/awscodebuild.png&w=100&q=90,데브옵스
aws codedeploy,https://image.wanted.co.kr/optimize?src=https://static.codenary.co.kr/framework_logo/awscodedeploy.png&w=100&q=90,데브옵스
aws codepipeline,https://image.wanted.co.kr/optimize?src=https://static.codenary.co.kr/framework_logo/awscodepipeline.png&w=100&q=90,데브옵스
aws documentdb,https://image.wanted.co.kr/optimize?src=https://static.codenary.co.kr/framework_logo/awsdocumentdb.png&w=100&q=90,데이터베이스
aws dynamodb,https://image.wanted.co.kr/optimize?src=https://static.codenary.co.kr/framework_logo/awsdynamodb.png&w=100&q=90,데이터베이스
aws kinesis,https://image.wanted.co.kr/optimize?src=https://static.codenary.co.kr/framework_logo/awskinesis.png&w=100&q=90,백엔드
aws mariadb,https://image.wanted.co.kr/optimize?src=https://static.codenary.co.kr/framework_logo/awsmariadb.png&w=100&q=90,데이터베이스
aws redshift,https://image.wanted.co.kr/optimize?src=https://static.codenary.co.kr/framework_logo/awsredshift.png&w=100&q=90,데이터
aws ses,https://image.wanted.co.kr/optimize?src=https://static.codenary.co.kr/framework_logo/awsses.png&w=100&q=90,백엔드
aws sns,https://image.wanted.co.kr/optimize?src=https://static.codenary.co.kr/framework_logo/awssns.png&w=100&q=90,백엔드
azure devops,https://image.wanted.co.kr/optimize?src=https://static.codenary.co.kr/framework_logo/azuredevops.png&w=100&q=90,데브옵스
backbonejs,https://image.wanted.co.kr/optimize?src=https://static.codenary.co.kr/framework_logo/backbonejs.png&w=100&q=90,프론트엔드
bazel,https://image.wanted.co.kr/optimize?src=https://static.codenary.co.kr/framework_logo/bazel.png&w=100&q=90,모바일
bitbucket,https://image.wanted.co.kr/optimize?src=https://static.codenary.co.kr/framework_logo/bitbucket.png&w=100&q=90,데브옵스
bitrise,https://image.wanted.co.kr/optimize?src=https://static.codenary.co.kr/framework_logo/bitrise.png&w=100&q=90,모바일
capistrano,https://image.wanted.co.kr/optimize?src=https://static.codenary.co.kr/framework_logo/capistrano.png&w=100&q=90,데브옵스
