IT_Tech_Term,Frequency
개발,13427
AWS,2268
C,1910
React,1908
Python,1803
API,1514
Java,1336
Spring,1120
Typescript,1086
TypeScript,1086
Git,1049
JavaScript,1047
Javascript,1047
인프라,896
보안,883
Docker,822
MySQL,796
Linux,763
Kubernetes,694
GitHub,666
Github,666
데이터베이스,566
Android,565
SQL,564
Kotlin,539
iOS,514
HTML,498
백엔드 개발,495
CSS,473
ML,460
JIRA,458
Jira,458
데이터 분석,383
Redis,380
Spring Boot,379
GCP,379
Restful API,371
REST,366
Pytorch,352
PyTorch,352
Azure,346
NoSQL,337
UX,336
PostgreSQL,319
Spring Framework,303
Django,294
DevOps,292
React Native,291
Tensorflow,288
3D,280
Slack,271
flutter,269
Flutter,269
MongoDB,269
Go,261
Kafka,249
API 개발,249
RDBMS,245
REST API,238
소프트웨어 개발,237
JPA,237
Notion,231
Confluence,218
영상,211
알고리즘 개발,195
SAP,191
Swift,186
Redux,186
Jenkins,179
SaaS,177
FastAPI,176
Rust,165
Figma,165
Windows,161
PHP,159
Oracle,154
ERP,153
Elasticsearch,152
ElasticSearch,152
Spark,145
GraphQL,140
Airflow,139
Terraform,138
ES6,135
HTTP,129
하드웨어,128
Agile,128
Angular,127
EC2,126
테스트 자동화,126
솔루션 개발,124
IoT,122
Golang,122
GitLab,117
Gitlab,117
NLP,117
HTML5,116
R,115
Webpack,114
NestJS,114
Nestjs,114
Database,113
NET,112
jQuery,111
ReactJS,108
Reactjs,108
프로젝트 관리,107
웹 개발,106
장비,104
ORM,101
Spa,97
품질 관리,97
Deep Learning,96
IP,96
MVVM,95
Hadoop,94
Shell,91
MariaDB,91
Apache,91
GitHub Actions,90
회로,90
펌웨어,87
Grafana,87
SoC,87
GPU,86
Flask,84
NodeJS,83
Nodejs,83
Datadog,81
TDD,81
TCP,80
OpenCV,80
gRPC,79
GRPC,79
OpenStack,78
운영체제,77
MVP,75
zustand,74
Zustand,74
WebSocket,74
컨설팅,73
Jest,73
기술 개발,71
Machine Learning,71
BI,70
BitBucket,69
MSSQL,69
Bitbucket,69
CUDA,68
접근성,68
UNIX,68
Unix,68
Firebase,68
ETL,68
카메라,68
컴퓨터 비전,66
SpringBoot,64
Recoil,62
Prometheus,62
Ansible,61
Unity,60
Ubuntu,60
Storage,59
Tableau,59
Nginx,59
FPGA,59
가상화,59
회로 설계,57
Qt,57
RabbitMQ,56
ARM,56
Selenium,55
ROS,53
Flow,53
웹 표준,53
Storybook,51
Scrum,50
JSP,50
SASS,50
Tailwind,49
CAN,49
CSS3,48
WebRTC,48
Ruby,48
AWS EC2,48
임베디드 시스템,48
테스트 케이스,47
네트워크 보안,47
클라이언트 개발,47
Nextjs,46
NextJS,46
Vuejs,45
MVC,45
Github Action,45
VueJS,45
방화벽,44
신뢰성,44
SAP ERP,42
WPF,41
WebGL,41
CAD,41
GPS,41
Clean Architecture,41
협력,40
OpenGL,39
Blockchain,39
NumPy,38
Verilog,38
MyBatis,38
Numpy,38
테스트 계획,37
VPN,37
Appium,37
Istio,36
ASP,36
Shell Script,36
MobX,36
RTOS,36
Playwright,34
Bash,34
MES,34
소프트웨어 공학,34
Scala,34
DNS,34
Ethereum,34
Helm,33
Keras,33
AWS RDS,33
ABAP,32
ORCAD,32
Cypress,32
Emotion,32
SPI,32
MATLAB,31
Babel,31
Querydsl,31
Tailwind CSS,31
Solidity,31
특허,31
스위치,31
React Query,30
서버 관리,30
Swagger,30
클라우드 보안,30
Pandas,30
딥 러닝,30
UART,29
Google Analytics,29
MFC,29
I2C,29
AWS Lambda,29
Dart,28
암호화,28
SCM,28
EDA,28
Unreal Engine,28
PaaS,28
GUI,28
Google Cloud Platform,27
Yarn,27
Embedded System,27
ISO 27001,27
클라우드 컴퓨팅,27
AWS S3,26
Laravel,26
AngularJS,26
OOP,26
게임 개발,26
Hive,25
Apache Kafka,25
OAuth,25
Speech,25
IPS,25
데이터 통합,25
Big Data,25
Tomcat,25
MLflow,24
Argo CD,24
DLP,24
LTE,24
PADS,24
네트워크 설계,24
DSP,24
Scripting,24
일본어,24
ExpressJS,24
SDLC,24
네트워크 인프라,23
TypeORM,23
Gradle,23
LiDAR,23
의료 영상,23
CISSP,23
Coroutine,23
SLAM,22
Redmine,22
Celery,22
AR,22
CMS,22
SVN,21
Electron,21
GIS,21
MQTT,21
Ceph,21
IaaS,21
Kubeflow,21
OSS,21
신호 처리,21
AWS ECS,21
JUnit,20
Ruby on Rails,20
ESLint,20
Excel,20
VR,20
보안 관리,19
Embedded Linux,19
Jotai,19
Mocha,19
Visual Studio,19
Linux kernel,19
Cisco,19
Svelte,18
UDP,18
Testing Library,18
Altium,18
PLC,18
JWT,18
Redash,18
CCNP,17
Flink,17
프론트엔드 개발자,17
QA 엔지니어링,17
USB,17
네트워크 통신,17
임베디드 소프트웨어,17
Xilinx,17
광학,17
AWS CloudWatch,17
Power BI,17
AWS EKS,17
Bootstrap,17
Microservice Architecture,16
Spring Batch,16
Adobe,16
Asana,16
음성 인식,16
데이터 과학,16
Powershell,16
Windows 서버,16
Jupyter,15
RTL 설계,15
웹 기술,15
하드웨어 개발,15
Snowflake,15
SSL,15
Kibana,15
Spring Data JPA,14
AWS CloudFront,14
Hilt,14
