Agit,Agit,Agit,NNP,*,*,Agit,*,*,*
Airflow,Airflow,Airflow,NNP,*,*,Airflow,*,*,*
Alamofire,Alamofire,Alamofire,NNP,*,*,Alamofire,*,*,*
Angular,Angular,Angular,NNP,*,*,Angular,*,*,*
Ansible,Ansible,Ansible,NNP,*,*,Ansible,*,*,*
Apollo,Apollo,Apollo,NNP,*,*,Apollo,*,*,*
Appium,Appium,Appium,NNP,*,*,Appium,*,*,*
ArangoDB,ArangoDB,ArangoDB,NNP,*,*,ArangoDB,*,*,*
Arcus,Arcus,Arcus,NNP,*,*,Arcus,*,*,*
Argo CD,Argo CD,Argo CD,NNP,*,*,Argo CD,*,*,*
Armeria,Armeria,Armeria,NNP,*,*,Armeria,*,*,*
Asana,Asana,Asana,NNP,*,*,Asana,*,*,*
AWS Athena,AWS Athena,AWS Athena,NNP,*,*,AWS Athena,*,*,*
AWS AuroraDB,AWS AuroraDB,AWS AuroraDB,NNP,*,*,AWS AuroraDB,*,*,*
AWS CodeBuild,AWS CodeBuild,AWS CodeBuild,NNP,*,*,AWS CodeBuild,*,*,*
AWS CodeDeploy,AWS CodeDeploy,AWS CodeDeploy,NNP,*,*,AWS CodeDeploy,*,*,*
AWS CodePipeline,AWS CodePipeline,AWS CodePipeline,NNP,*,*,AWS CodePipeline,*,*,*
AWS DocumentDB,AWS DocumentDB,AWS DocumentDB,NNP,*,*,AWS DocumentDB,*,*,*
AWS DynamoDB,AWS DynamoDB,AWS DynamoDB,NNP,*,*,AWS DynamoDB,*,*,*
AWS Kinesis,AWS Kinesis,AWS Kinesis,NNP,*,*,AWS Kinesis,*,*,*
AWS MariaDB,AWS MariaDB,AWS MariaDB,NNP,*,*,AWS MariaDB,*,*,*
AWS Redshift,AWS Redshift,AWS Redshift,NNP,*,*,AWS Redshift,*,*,*
AWS SES,AWS SES,AWS SES,NNP,*,*,AWS SES,*,*,*
AWS SNS,AWS SNS,AWS SNS,NNP,*,*,AWS SNS,*,*,*
Azure DevOps,Azure DevOps,Azure DevOps,NNP,*,*,Azure DevOps,*,*,*
BackboneJS,BackboneJS,BackboneJS,NNP,*,*,BackboneJS,*,*,*
Bazel,Bazel,Bazel,NNP,*,*,Bazel,*,*,*
Bitbucket,Bitbucket,Bitbucket,NNP,*,*,Bitbucket,*,*,*
Bitrise,Bitrise,Bitrise,NNP,*,*,Bitrise,*,*,*
Capistrano,Capistrano,Capistrano,NNP,*,*,Capistrano,*,*,*
CassandraDB,CassandraDB,CassandraDB,NNP,*,*,CassandraDB,*,*,*
Celery,Celery,Celery,NNP,*,*,Celery,*,*,*
Central Dogma,Central Dogma,Central Dogma,NNP,*,*,Central Dogma,*,*,*
Ceph,Ceph,Ceph,NNP,*,*,Ceph,*,*,*
Circle CI,Circle CI,Circle CI,NNP,*,*,Circle CI,*,*,*
Clickhouse,Clickhouse,Clickhouse,NNP,*,*,Clickhouse,*,*,*
CockroachDB,CockroachDB,CockroachDB,NNP,*,*,CockroachDB,*,*,*
CodeIgniter,CodeIgniter,CodeIgniter,NNP,*,*,CodeIgniter,*,*,*
Confluence,Confluence,Confluence,NNP,*,*,Confluence,*,*,*
Couchbase,Couchbase,Couchbase,NNP,*,*,Couchbase,*,*,*
C++,C++,C++,NNP,*,*,C++,*,*,*
C#,C#,C#,NNP,*,*,C#,*,*,*
Cubrid,Cubrid,Cubrid,NNP,*,*,Cubrid,*,*,*
Cucumber,Cucumber,Cucumber,NNP,*,*,Cucumber,*,*,*
Cypress,Cypress,Cypress,NNP,*,*,Cypress,*,*,*
Dagger,Dagger,Dagger,NNP,*,*,Dagger,*,*,*
Dart,Dart,Dart,NNP,*,*,Dart,*,*,*
Discord,Discord,Discord,NNP,*,*,Discord,*,*,*
Docker,Docker,Docker,NNP,*,*,Docker,*,*,*
Docusaurus,Docusaurus,Docusaurus,NNP,*,*,Docusaurus,*,*,*
Dooray,Dooray,Dooray,NNP,*,*,Dooray,*,*,*
Drone,Drone,Drone,NNP,*,*,Drone,*,*,*
Dropwizard,Dropwizard,Dropwizard,NNP,*,*,Dropwizard,*,*,*
Druid,Druid,Druid,NNP,*,*,Druid,*,*,*
Echo,Echo,Echo,NNP,*,*,Echo,*,*,*
ElasticSearch,ElasticSearch,ElasticSearch,NNP,*,*,ElasticSearch,*,*,*
Electron,Electron,Electron,NNP,*,*,Electron,*,*,*
Elixir,Elixir,Elixir,NNP,*,*,Elixir,*,*,*
EmberJS,EmberJS,EmberJS,NNP,*,*,EmberJS,*,*,*
Emotion,Emotion,Emotion,NNP,*,*,Emotion,*,*,*
Enzyme,Enzyme,Enzyme,NNP,*,*,Enzyme,*,*,*
ExoPlayer,ExoPlayer,ExoPlayer,NNP,*,*,ExoPlayer,*,*,*
ExpressJS,ExpressJS,ExpressJS,NNP,*,*,ExpressJS,*,*,*
Falcon,Falcon,Falcon,NNP,*,*,Falcon,*,*,*
FastAPI,FastAPI,FastAPI,NNP,*,*,FastAPI,*,*,*
Fastify,Fastify,Fastify,NNP,*,*,Fastify,*,*,*
Fastlane,Fastlane,Fastlane,NNP,*,*,Fastlane,*,*,*
Fiber,Fiber,Fiber,NNP,*,*,Fiber,*,*,*
Flask,Flask,Flask,NNP,*,*,Flask,*,*,*
Flink,Flink,Flink,NNP,*,*,Flink,*,*,*
Flow,Flow,Flow,NNP,*,*,Flow,*,*,*
Fluentd,Fluentd,Fluentd,NNP,*,*,Fluentd,*,*,*
Gatsby,Gatsby,Gatsby,NNP,*,*,Gatsby,*,*,*
Gin,Gin,Gin,NNP,*,*,Gin,*,*,*
Github,Github,Github,NNP,*,*,Github,*,*,*
Github Action,Github Action,Github Action,NNP,*,*,Github Action,*,*,*
Gitlab,Gitlab,Gitlab,NNP,*,*,Gitlab,*,*,*
Glide,Glide,Glide,NNP,*,*,Glide,*,*,*
Go,Go,Go,NNP,*,*,Go,*,*,*
Go CD,Go CD,Go CD,NNP,*,*,Go CD,*,*,*
Google BigQuery,Google BigQuery,Google BigQuery,NNP,*,*,Google BigQuery,*,*,*
Google Cloud Build,Google Cloud Build,Google Cloud Build,NNP,*,*,Google Cloud Build,*,*,*
Google Data Studio,Google Data Studio,Google Data Studio,NNP,*,*,Google Data Studio,*,*,*
Google Firebase,Google Firebase,Google Firebase,NNP,*,*,Google Firebase,*,*,*
Grafana,Grafana,Grafana,NNP,*,*,Grafana,*,*,*
GraphQL,GraphQL,GraphQL,NNP,*,*,GraphQL,*,*,*
Greenplum,Greenplum,Greenplum,NNP,*,*,Greenplum,*,*,*
Groovy,Groovy,Groovy,NNP,*,*,Groovy,*,*,*
GRPC,GRPC,GRPC,NNP,*,*,GRPC,*,*,*
Gulp,Gulp,Gulp,NNP,*,*,Gulp,*,*,*
H2,H2,H2,NNP,*,*,H2,*,*,*
Hadoop,Hadoop,Hadoop,NNP,*,*,Hadoop,*,*,*
Harbor,Harbor,Harbor,NNP,*,*,Harbor,*,*,*
Hazelcast,Hazelcast,Hazelcast,NNP,*,*,Hazelcast,*,*,*
HBase,HBase,HBase,NNP,*,*,HBase,*,*,*
Helm,Helm,Helm,NNP,*,*,Helm,*,*,*
Hive,Hive,Hive,NNP,*,*,Hive,*,*,*
Hugo,Hugo,Hugo,NNP,*,*,Hugo,*,*,*
Immer,Immer,Immer,NNP,*,*,Immer,*,*,*
Impala,Impala,Impala,NNP,*,*,Impala,*,*,*
InfluxDB,InfluxDB,InfluxDB,NNP,*,*,InfluxDB,*,*,*
Istio,Istio,Istio,NNP,*,*,Istio,*,*,*
Jaeger,Jaeger,Jaeger,NNP,*,*,Jaeger,*,*,*
