id,min_career,max_career,intro,title,jobCategoryIds,technicalTags,countryCode,location,description,preferredExperience,requirement,CompanyName
153811,3,100,"• 다우기술은 38년 동안 국내 IT 산업을 이끌어온 벤처 1세대 기업입니다.
• 그리고 IT기술을 기반으로 금융, 서비스, 콘텐츠, 글로벌 분야로 성장하는 다우키움그룹의 소속되어 있습니다. (키움증권, 사람인 등 업계를 선도하는 30여개의 국내외 계열사를 보유)
• 세상에 많은 도움을 준다는 의미의 사명을 바탕으로 신뢰할 수 있는 기술과 서비스로 세상에 기여할 다우인을 기다립니다.

• 그룹IT운영사업부는 다우키움그룹 계열사의 IT 유지보수 및 프로젝트 수행을 담당하고 있습니다.
• 구체적으로/예를 들어 키움저축은행, 키움Yes저축은행, 키움캐피탈, 키움F&I, 사람인, 키다리스튜디오와 같은 금융 및 컨텐츠/서비스 계열사의 신규 업무 개발 또는 차세대 프로젝트 수행을 통해 IT 업무 개발 및 운영을 담당합니다.
• 그룹IT운영사업부 팀원들은 PM, 사업관리, TA, DBA, 개발 등 프로젝트를 수행 할수 있는 필수 인력으로 구성되어 있습니다.",금융 서비스 개발,"자바 개발자, 서버 개발자, 웹 개발자","VueJS, JavaScript, Node.js, jQuery, Spring Framework, Vue.JS",kr,서울,"• 키움예스저축은행 소비자금융 시스템 개발 및 운영
• 키움예스저축은행 혁신금융 시스템 개발 및 운영

※ 담당 서비스 : 키움예스저축은행",• 금융 서비스 개발 및 운영 경험,"• 관련 개발 경력이 있는 분 (3년 이상 / 선임급 이상)
• Spring Framework(JSP/Servlet , AJAX) 개발 경험
• JavaScript Framework(JQuery, Vue.js, Node.js 등) 개발 경험
• 혼자 보다는 함께하여 시너지를 발생시키는 분과 함께 하고 싶습니다.
• 현실에 안주하지 않고 새로운 기술에 도전을 할 수 있는 분과 함께 하고 싶습니다.

[ 관련 기술 소개 ]
1) 주요기술 : Spring Framework(JSP/Servlet , AJAX), Javascript Framework (JQuery, Vue.js, Node.js 등) 
2) 업무도구 : Gitlab, Mantis
3) 코드 리뷰 : Gitlab
4) 배포/빌딩/자동화 : Gitlab, Jenkins, REST Server",다우기술
225804,3,12,"다우기술은 39년 동안 국내 IT 산업을 이끌어온 벤처 1세대 기업입니다.
그리고 IT기술을 기반으로 금융, 서비스, 콘텐츠, 글로벌 분야로 성장하는 다우키움그룹의 소속되어 있습니다. (키움증권, 사람인 등 업계를 선도하는 30여개의 국내외 계열사를 보유)
세상에 많은 도움을 준다는 의미의 사명을 바탕으로 신뢰할 수 있는 기술과 서비스로 세상에 기여할 다우인을 기다립니다.

• 인프라딜링팀은 키움증권 법인/상품 딜링 시스템 개발을 담당 하고 있습니다. 
• 딜링시스템은 크게 법인고객 trading 시스템 , 상품펀드 주문시스템 , 주식/ETF LP 시스템 및 파생 MM(시장조성자) 시스템을 담당하고 있습니다. 
• LP 시스템과 MM 시스템은 주식 및 파생시세를 실시간으로 감시하며 자동으로 주문을 거래소에 제출하는 시스템입니다. 
• 키움 내부 직원들이 사용하는 전용 클라이언트를 제공합니다.
• 키움증권의 법인고객의 TRADING을 지원하여 수익을 창출하고 있으며 과 키움 내부 자산을 운용하여 투자수익을 얻고 있으며 거래소와의 계약을 통해  MM 과 LP 를 수행하여 수익을 창출하고 있습니다. 
• 타 증권사 대비 경쟁력 있는 법인TRADING 시스템을 보유함으로써 법인고객유치 및 키움증권 매출증가에 기여하고 있으며 시장의 요구사항과 신기술을 신속히 파악하여 시스템 성능을 지속적인 업그레이드하고 있습니다.",증권 매매시스템(서버) 개발,"서버 개발자, C,C++ 개발자, 소프트웨어 엔지니어",,kr,서울,"• OMS(주문관리시스템), 법인 상품 매매시스템 개발 및 운영
• 시장조성자, 유동성공급자 호가제출 시스템 개발 및 운영

※ 담당 서비스 : 키움증권

[주요기술]ALTIBASE, C, C++
[협업 방식] Jira, KIMS(작업관리시스템)
[코드/업무리뷰/배포/빌딩/자동화 방식, 툴] SVN","• 증권사LP / MM 시스템 개발 경험
• 금융권 동종 업무 근무 경험","• 증권사 OMS 시스템 개발 및 운영 경험 3년 이상
• C, C++(Unix, Linux) 개발 경험
• 통신 프로그램(TCP/IP, UDP) 개발 경험
• 관련 기술 : C , C++ , DB(ALTIBASE)",다우기술
254136,5,10,"• 다우기술은 38년 동안 국내 IT 산업을 이끌어온 벤처 1세대 기업입니다.
• 그리고 IT기술을 기반으로 금융, 서비스, 콘텐츠, 글로벌 분야로 성장하는 다우키움그룹의 소속되어 있습니다. (키움증권, 사람인 등 업계를 선도하는 30여개의 국내외 계열사를 보유)
• 세상에 많은 도움을 준다는 의미의 사명을 바탕으로 신뢰할 수 있는 기술과 서비스로 세상에 기여할 다우인을 기다립니다.

• 품질기획팀은 키움증권 IT 운영 조직의 품질 정책과 표준을 관리하며, 내부통제에 기반한 IT 프로세스의 운영 및 개선 업무를 담당하고 있습니다.
 1. 키움증권 시스템 개발 및 운영 업무의 품질 정책과 목표수준 관리
 2. 프로젝트 및 운영 프로세스 품질점검을 통한 이행수준 분석 및 개선안 도출
 3. 금융감독기관 및 외부 감사 수검 지원
 4. ITSM 관리 시스템 운영 및 고도화
• 품질 관련 정책, 절차 및 목표수준 설정 등 품질 기획 관련 업무와 품질 보증 정책이나 절차 등 관련 사항 교육 업무를 담당합니다. 
• 또한 프로젝트, 프로세스 운영 및 산출물 점검과 결과 보고 등 품질 점검 업무와 더불어 프로젝트, IT 운영 품질 관련 이슈 분석 및 개선안 도출과 실행 등 품질 개선 업무를 담당합니다.
• 조직구성원의 일하는 방식을 표준화하고 합의된 프로세스를 준수할 수 있도록 가이드하여, 키움증권 IT 서비스의 품질 수준 향상에 기여하고 있습니다.",증권 품질 보증 (QA),"QA,테스트 엔지니어","JIRA, Redmine",kr,서울,"• 키움증권 프로세스 점검 및 개선
• 금융감독기관 및 외부 감사 대응
• ITSM 시스템 운영 및 고도화

※ 담당 서비스 : 키움증권

• 키움증권 시스템의 개발 프로세스와 정책을 관리하며 금융 IT에 특화된 정보시스템 품질 보증 및 거버넌스 관리자로 성장해나갈 수 있습니다.","• 관련 자격증(CISA, PMP, 감리원 또는 감리사) 보유
• IT 시스템 개발 및 운영 경험 또는 품질 점검 경험 3년 이상
• 금융 감독기관 수검 및 감리 대응 경험
• ITSM 관리 및 IT 기획 경험
• CMMi 또는 ISO20000 관련 인증 대응 경험 
• 품질 역량을 바탕으로 조직의 표준을 향상시키고, 개선할 수 있는 분과 함께 일하고 싶습니다. 
• 차분하게 분석할 수 있는 성향을 가지고 주어진 개선 사항에 대한 분석과 해결방안 도출에 적극적인 분이 좋습니다.","• 관련 업무 경험이 있는 분 (5년 이상 / 선임~책임급)
• 품질 정책 및 프로세스 관리, 기획 경험
• IT 프로젝트 또는 IT 운영 품질 점검 경험
• 전자금융감독규정 및 IT 통제 기준에 대한 이해 및 수검 지원 경험
• SLA 기반 품질 지표 수립 및 관리 경험
• ITSM 시스템 사용 경험 및 프로세스 관리 경험
• 다양한 조직 구성원과 원활한 커뮤니케이션 역량",다우기술
258981,15,100,"※ 스마트 도큐먼트 컴퍼니 '이파피루스'가 새로운 동료를 찾습니다.

「이파피루스는 풍부한 경험과 기술력을 바탕으로 누구나 쉽게 이용할 수 있는 전자문서 환경을 실현하는 페이퍼리스 솔루션 전문 기업입니다.」


* 이파피루스는 외관보다 내실, 형식보다 효율을 생각합니다.
 
 - 영업이익률 3년 연속 10% 이상 달성, 부채비율 50% 미만의 튼튼한 재무 구조
 - 국내 최초 PDF 코어 엔진, HTML 기반 웹 뷰어 개발 등 풍부한 원천 기술과 노하우
 - 500개 이상의 공공기관 레퍼런스 포함, 총 900개 이상의 페이퍼리스 솔루션 레퍼런스
 - 복장도, 회식도, 휴가도 자유, 젊은 임직원들이 만드는 수평적인 조직 문화


* 독보적인 기술력과 창의적인 발상을 바탕으로 끊임없이 도전합니다.

 - 전자문서 분야에 그치지 않고 IoT, AI 딥러닝, 클라우드 등 다양한 기술을 통해
   보다 더 편리한 업무환경을 실현합니다.
 - 이러한 사세 확장에 따라 대폭적인 인력 충원을 진행하고 있으니,
   이파피루스와 함께 성장하실 분들의 많은 지원 바랍니다.",PS부서(솔루션컨설팅/기술지원) 부서장,기술지원,,kr,경기,"• 부서 리드 및 관리
   - 목표 설정, 성과지표 관리 및 분석
   - 유관부서 및 외부 고객들과 소통하여 업무배분, 일정조정, 인력 배정 등 조율
• 고객 관계 수립 및 유지
   - 커뮤니케이션을 통한 고객 니즈 파악
   - 이슈 발생 시 고객 대응 가이드 및 지원
   - 고객사의 제품 기능/성능 관련 피드백을 유관부서로 전파
• 업무 효율 개선 및 기술 전파
   - 부서 내 업무 효율 개선, 레퍼런스 조사 및 적용
   - 솔루션 기술 트렌드 전파","•  오픈 소스 설치 및 운영 경력이 있으신 분
•  솔루션 설치 및 납품, 시스템 엔지니어 경력이 있으신 분
•  쉘 스크립트 언어(Bash, Python 등) 사용에 능숙하신 분","• PS부서의 관리자 역할에 대한 깊은 이해를 보유하신 분
• 리더십 및 자원관리 능력을 보유하신 분
• 우수한 커뮤니케이션 능력을 보유하신 분
• 운영체제, WEB/WAS, 시스템 연계 경험 등에 대한 기술적 전문성을 보유하신 분
• 전자문서 및 솔루션 비즈니스에 대한 이해를 보유하신 분",이파피루스
172050,5,100,"【회사소개】
HCG 휴먼컨설팅그룹은 2001년 설립되어 국내 HR 시장을 선도하고 있는 HR 전문기업으로서, 국내에서 유일하게 인사∙조직 컨설팅, e-HR 솔루션 및 급여 아웃소싱 영역을 아우르는 HR Total Solution을 제공하고 있습니다.
특히, e-HR 솔루션 대기업용 맞춤형 HR 솔루션 hunel, 중견/강소기업을 위한 All in One HR 패키지, HR 클라우드 서비스를 기반으로 국내 HR Tech 시장을 선도하고 있습니다.

【조직소개】 
hunel(휴넬)은 e-HR Top Brand로써 대기업, 공공, 금융, 그룹 계열사 등 전 산업군의 기업을 대상으로 다양한 요구사항을 최적화하여 국내 최고의 맞춤형 e-HR프로젝트 구축 서비스를 제공합니다.",e-HR 프로젝트 PM/PL,"프로덕트 매니저, 개발 매니저",,kr,서울,"• 요구사항 분석 및 설계
• 프로젝트 수행 관리
• 이해 관계자 의사소통 및 리스크 관리",• HR시스템 구축 전문회사 근무 경력자,"• 연령, 성별, 학력 무관
• HR 시스템 개발 경험(필수)
• 시스템 PM 또는 PL(설계/분석) 경력 5년 이상",휴먼컨설팅그룹
254304,3,100,"""카펜스트리트 팀은 전세계 창작자들의 가장 든든한 지원군입니다""

이 설레는 미션을 함께 이루어나갈 미래의 카족 분을 찾고 있습니다. 
강하고 선한 영향력을 만들 카펜스트리트의 여정에 함께하실 분을 기다립니다!

[지원하는 서비스]
• ACON : 2D 및 3D 에셋 거래 플랫폼으로, 국내 시장 선점은 물론이고 140여개국의 구매자 유입으로 비즈니스 영역을 확장하고 있습니다. 이를 통해 보다 풍부한 콘텐츠 확보와 메타버스, 영상 창작, VR 등 다양한 콘텐츠 산업과의 접목으로 새로운 가치를 지속 생산하는 선순환 구조를 구축하고 있습니다.

• ABLUR : 창작자가 ACON에서 다운로드한 디자인 소스를 자유롭게 편집할 수 있는 도구로, 창작자의 작업 활동을 보다 원활하게 돕고자 개발 진행중인 소프트웨어 편집 툴 서비스입니다.",SW 엔지니어 (3년 이상),"C,C++ 개발자",,kr,서울,"• 3D 모델링 엔진 소프트웨어 개발
• 회사 내 다양한 팀과의 협업 / 유저 피드백을 반영한 서비스 유지보수",,"• 소프트웨어 개발 경력이 3년 이상이신 분
• 컴퓨터 공학 관련  전공 학위를 보유하시거나, 유사한 분야의 교육과정을 이수하신 분
• 문제를 해결하기 위해 최적화된 코드 설계 및 개발 경험이 있으신 분
• 도메인에 대한 이해를 바탕으로 고객의 사용경험 개선을 위해  몰입해 본 경험이 있으신 분
• 제품의 품질을 위해 책임감을 가지고 능동적, 지속적으로 개선한 경험이 있으신 분

[우대사항]
• UnrealEngine 또는 C++ 개발 경험이 있으신 분
• 3D 컴퓨터 그래픽스 관련 경험이 있으신 분
• 설치형 데스크탑 소프트웨어(게임 포함) 개발/유지보수 경험이 있으신 분
• SketchUp, Blender와 같은 3D 모델링 툴 이용경험이 있으신 분",카펜스트리트(에이콘3D)
126370,2,13,"[IDT 사업부문 업무소개]

플래티어는 2021년 8월 코스닥 시장에 상장한 디지털플랫폼 전문 기업으로, 크게 이커머스-마케팅(CM) 부문과 통합 디지털 전환(IDT) 부문으로 구성되어 있습니다.

IDT(Integration of Digital Transformation)부문은 기업의 디지털 전환을 위한 컨설팅 및 필요한 IT인프라 환경을 구축해주는 솔루션을 제공합니다. 다양한 경험과 기술력을 바탕으로 디지털 전환에 필수 요소인 협업(Collaboration) 플랫폼과 IT조직을 위한 데브옵스(DevOps)플랫폼을 갖추고 있어 기업의 디지털 전환을 빠르고 혁신적으로 이끌어 내는 역할을 수행합니다.

IDT부문은 협업을 위한 Atlassian 제품, DevOps CI/CD를 위한 CloudBees, CT를 위한 Tricentis 같은 제품을 국내에 공급하고 있으며, 데브옵스 및 애자일 컨설팅 영역의 독보적 능력을 보유하고 있는 기술 중심의 사업 역량을 가지고 있습니다. IT분야는 너무도 다양한 영역이 있으며, 약간은 낯설기는 하지만 엔지니어링 부분에 도전해서 자신의 커리어를 저희와 함께 쌓아 가실 도전적이고 긍정적인 마인드를 가진 분을 찾고 있습니다.


* 전형절차

서류전형 -＞ 1차 면접 -＞ 레퍼런스 체크 (1차 합격 시) -＞ 2차 면접 -＞ 최종합격


※ 지원 시 아래의 URL을 통해 구글 설문지를 필수로 제출 부탁드립니다.※
https://forms.gle/862hrT8hmsyP83tL9",아틀라시안 & 데브옵스 솔루션 엔지니어,"DevOps / 시스템 관리자, 기술지원, 소프트웨어 엔지니어","Confluence, Git, JIRA",kr,서울,"• Atlassian Jira Confluence Bitbucket기반의 CI/CD 및 ITSM 구축 업무
• 솔루션 엔지니어 (협업 & 데브옵스 플랫폼)
• 디지털 전환을 위한 협업 및 데브옵스 기반의 도구 활용 방안 제시
• IT개발을 하는 동안에 필요한 다양한 도구에 대한 지원 및 교육
• 개발 방법론, 프로세스에 대한 가이드
• 데브옵스, 에자일 컨설팅 코칭","• JIRA / Confluence Atlassian 솔루션 및 유사한 도구 사용
• JAVA, Groovy, Python, Shell 등 스크립트 작성 가능자
• Jenkins 또는 CI/CD를 활용한 빌드/배포 관리
• Git을 활용한 형상관리
• Linux 환경에서 개발 또는 Linux 환경을 활용
• Database 활용 가능자
• Network / Server Infra 관련 지식을 가진 자
• 영어 회화 가능자
• Network / Servr Infra 관련 지식을 가진자
• 영어 회화 가능자","• JIRA / Confluence등 Atlassian사 제품 사용자 또는 엔지니어 경험자
• 형상관리 도구(Git, SVN, Bitbucket 등) 사용 또는 관리 경험자
• ALM 도구 엔지니어 또는 사용 경험자
• Open Source 도구를 사용해 보거나 관심있는 사람",플래티어
259478,5,5,"빅밸류는 빅데이터와 인공지능으로 고객의 비즈니스 문제를 정확히 해결하는 알고리즘을 공급하고 있습니다.

1. 국내 최초로 AI 주택 시세를 상용화, 시중은행의 불명확한 담보대출 기준 문제를 해결
2. 국내 최초로 AI 상권 분석을 상용화, 고객의 불명확한 매출과 점포 개발 문제를 해결
3. 빅데이터/인공지능 기술을 기반으로 헬스케어 부문 위험도 예측 알고리즘 개발

우리는 ""데이터로 세상을 풍요롭게""라는 미션 아래, 데이터로 세상을 바꾸기 위해 나아가고 있습니다.",App 개발 (5년이상),안드로이드 개발자,"Android, iOS, Kotlin, Flutter",kr,서울,"• 안드로이드 App 개발
• Kotlin 또는 Flutter를 이용한 앱 개발
• 신규 개발 및 유지보수","• Java 또는 Kotlin 개발 경험자
• iOS 앱 개발 경험자(크로스 플랫폼 개발 가능)
• 모바일 웹 개발 경험자
• 관련자격증(Flutter Certified Application Developer 등) 보유자","• 앱 개발 경력 5년 이상
• 신규 앱 개발 경험자
• App 관리 및 배포 경험이 있는 분
• 안드로이드(Kotlin) 또는 Flutter로 상용화 서비스 수준에 부합하는 앱 개발이 가능하신 분",빅밸류
259980,5,10,"Beyond Surprise, UPRISE
로보어드바이저 기업 업라이즈에서 놀라움을 넘어 위대한 혁신을 함께 만들어갈 Next Upriser를 찾습니다.


업라이즈는
디지털 자산 예치 플랫폼 ‘헤이비트’
전통 자산 로보어드바이저 ‘든든’
국내 최초 비트코인 만보기 리워드 앱 '비트버니'
를 제공하고 있습니다.


2018년 창업 이래 이제까지 한 분 한 분을 소중히 모셔가며 성장해왔습니다. 동시에 각 라운드마다 KB인베스트, 신한벤쳐투자, 카카오벤쳐스, Bass Investment 등으로부터 Series C 투자를 진행하며 보다 적극적으로 인력과 리소스를 보강해 회사를 키워 나가고 있습니다.


'비트버니 부문'은 23년 11월 1일 서비스 정식 런칭을 한 국내 최초 비트코인 만보기 리워드 앱 '비트버니' 를 담당하는 목적 조직 입니다. 코인 지급하는 기능을 바탕으로 오픈 1년만에 회원 수 50만명 이상 DAU 18만명을 확보하며 빠르게 성장하고 있고, 17명이라는 초기 정예 인원을 바탕으로 서비스를 만들어 나가고 있습니다. MVP 개발부터 현재까지 쌓은 경험을 바탕으로 추가적인 서비스 확장 진행 예정입니다.",[비트버니] Full-stack 개발자,프론트엔드 개발자,,kr,서울,"• 비트버니 서비스의 개발에 주도적으로 참여합니다.
• FE/BE 등을 가리지 않고 기능 구현 시 필요한 부분은 직접 개발합니다.
• 기술 스택은 sveltekit, supabase, flutter 입니다.","• 자신의 역량 향상을 위해 지속적인 노력을 하고 계시는 분
• 신규 서비스를 처음부터 만들어 보신 분
• 필요에 맞추어 기술 스택을 선정해 도입해 보신 분","• 풀스택이 아니더라도 한 분야에서 5년 이상 일한 경험이 있습니다.
• 복잡한 서비스 환경에서 기술 부채를 성공적으로 관리한 경험에 대해 구체적인 사례나 해결책을 제시할 수 있습니다.
• 협업을 통한 복잡한 문제 해결 경험, 구체적 사례를 제공할 수 있습니다.
• 직접 (서비스 혹은 기술적인) 문제를 발견하고 해결한 구체적 사례를 제공할 수 있습니다.",업라이즈
259927,6,10,"새로운 교육 패러다임을 제시하는 버블콘과 함께할 인재를 모집합니다. 

4차 산업혁명과 연계된 에듀테크(EduTech) 사업의 중요성과 더불어 시장 규모가 점점 커지고 있는 지금, 버블콘은 학습자와 교수자 모두를 만족시킬 수 있는 지능형 학습 플랫폼 서비스를 제공하고 있습니다. 

특히, 버블콘만의 빅데이터 및 AI 기술을 바탕으로 학습자는 학습에 대한 효율을 높이고 교육 담당자는 새로운 인사이트를 찾아내는 등 기존 온라인 학습의 단점을 보완하고 장점을 더욱 극대화하는 서비스를 만들어가고 있습니다. 

지금보다 더 커질 에듀테크(EduTech) 사업을 이끌어가면서 자신의 커리어를 성장하고 싶은 분들의 많은 지원 바랍니다!


[근무환경]
• 근무형태 : 정규직(수습기간_3개월)
• 근무시간 : 주 5일(월~금) 10:00 ~ 18:00(워라밸 근무제 시행 1시간 조기 퇴근)
• 급여 : 면접 후 결정(인센티브 지급)
• 근무지역 : 서울시 구로구 디지털로34길 43, 1001호(코오롱싸이언스밸리1차)
                    
[전형절차]
• 서류전형 -＞ 1차 면접 -＞ 최종합격",솔루션 개발자(JAVA),자바 개발자,,kr,서울,"• 버블콘 학습 콘텐츠관리 시스템 연구 개발
• ** 국내 최초 학습 표준 기반 통합 학습 콘텐츠 관리 시스템 연구/개발을 진행하실 JAVA Backend 경력 개발자를 모집합니다.","• 프로젝트 PM또는 PL역할 수행이력 있으신 분 우대
• LMS, LCMS등 학습플랫폼 서비스 개발 및 플랫폼 경험자 우대
• Docker, MSA 기반 시스템 아키텍처 구성 경력자 우대
• 교육분야 관련 개발 경력 
• 오픈소스 및 신기술 분석 및 연구 개발에 꾸준한 관심과 열정을 가지신 분 우대","• JAVA 개발 6년 이상
• SPRING BOOT, JPA, Thymeleaf
* ERD구성 및 시스템 아키텍처 설계 및 구성
* 협업툴: JIRA, Git 등
* 리눅스 시스템, 자바 가상 머신 등 운영체제, 파일시스템, 동기화, 네트워크에 대한 이해",버블콘
