Category,Token,Matched With
language,javasript,javascript
language,swiftmr,swift
language,jsm,js
language,tyescript,typescript
language,go,go
language,scale,scala
language,typescrpit,typescript
language,switft,swift
language,js,js
language,jsi,js
language,javscript,javascript
language,pyhton,python
language,pyton,python
language,pythonic,python
language,javas,java
language,rail,rails
language,javafx,java
language,rust,rust
language,swit,swift
language,javavscript,javascript
language,scada,scala
language,javascipt,javascript
language,per,perl
language,got,go
language,rus,rust
language,swift,swift
language,typesciprt,typescript
language,goland,golang
language,scalab,scala
language,tsp,ts
language,typesrcipt,typescript
language,pyhon,python
language,raise,rails
language,javasscript,javascript
language,swiftui,swift
language,jsp,js
language,pyhthon,python
language,javascrpit,javascript
language,tsx,ts
language,javacript,javascript
language,typscript,typescript
language,jsx,js
language,pytnon,python
language,scala,scala
language,c,c
language,javsscript,javascript
language,ph,php
frameworks,angluar,angular
frameworks,springdoc,spring
frameworks,flake,flask
frameworks,expression,express
frameworks,sping,spring
frameworks,mentor,meteor
frameworks,grpcio,grpc
frameworks,springboottest,springboot
frameworks,electra,electron
frameworks,relayer,relay
frameworks,spirng,spring
frameworks,electronjs,electron
frameworks,grp,grpc
frameworks,rail,rails
frameworks,expressions,expressjs
frameworks,kosa,koa
frameworks,sprint,spring
frameworks,spark,spark
frameworks,nest,nestjs
frameworks,gi,gin
frameworks,ko,koa
frameworks,tailwindcss,tailwind
frameworks,vue,vue
frameworks,codelgniter,codeigniter
frameworks,angularjs,angular
frameworks,nuxt,nuxtjs
frameworks,sveltekit,svelte
frameworks,eco,echo
frameworks,reactor,reactorkit
frameworks,raise,rails
frameworks,meter,meteor
frameworks,lalavel,laravel
frameworks,ra,ray
frameworks,reactive,reactnative
frameworks,electronic,electron
frameworks,node,node
frameworks,sprting,spring
frameworks,electronics,electron
frameworks,next,nextjs
frameworks,flash,flask
frameworks,speak,spark
frameworks,backbone,backbonejs
frameworks,laravle,laravel
libraries,reudx,redux
libraries,temsorflow,tensorflow
libraries,tfs,tf
libraries,graphol,graphql
libraries,tft,tf
libraries,reduc,redux
libraries,reach,react
libraries,vue,vuex
libraries,touch,torch
libraries,react,react
libraries,reactor,react
libraries,graph,graphql
libraries,pytorh,pytorch
libraries,reactive,reactivex
libraries,pytouch,pytorch
libraries,styledcompinents,styled-components
libraries,redu,redux
tools,ision,istio
tools,kubernates,kubernetes
tools,unit,unity
tools,open,opengl
tools,babel,bazel
tools,look,looker
tools,cassandra,cassandradb
tools,drones,drone
tools,train,trino
tools,postgis,postgres
tools,kubernets,kubernetes
tools,postgre,postgres
tools,zeplin,zeppelin
tools,postgredb,postgres
tools,cep,ceph
tools,unity,unity
tools,kuberentes,kubernetes
tools,hem,helm
tools,gcp,gcp
tools,confluent,confluence
tools,kakao,kafka
tools,confleunce,confluence
tools,conflunce,confluence
tools,units,unity
tools,rance,rancher
tools,gi,git
tools,kuberntes,kubernetes
tools,liner,linkerd
tools,kubenretes,kubernetes
tools,discover,discord
tools,kubanetes,kubernetes
tools,kafak,kafka
tools,rabbit,rabbitmq
tools,supertest,superset
tools,elasticache,elasticsearch
tools,postgressql,postgresql
tools,conference,confluence
tools,sol,solr
tools,kubenetes,kubernetes
tools,hiveql,hive
tools,githb,github
tools,flows,flow
tools,kuberneties,kubernetes
tools,kubemetes,kubernetes
tools,postresl,postgresql
tools,packet,packer
tools,openmesh,openebs
tools,linker,linkerd
tools,table,tableau
tools,mono,mongo
tools,ceh,ceph
tools,mongo,mongo
tools,oracle,oracledb
tools,solver,solr
tools,linkedin,linkerd
tools,mongdb,mongodb
tools,argo,argocd
tools,sonaqube,sonarqube
tools,opencl,opengl
tools,kafka,kafka
tools,puppet,puppeteer
tools,playwrite,playwright
tools,monogdb,mongodb
tools,droid,druid
tools,openal,opengl
tools,dockerize,docker
tools,looper,looker
tools,confluece,confluence
tools,fluent,fluentd
tools,pack,packer
tools,opengles,opengl
tools,kafa,kafka
tools,confidence,confluence
tools,range,ranger
tools,elasticcache,elasticsearch
tools,gc,gcp
tools,casandra,cassandradb
tools,kuerbernetes,kubernetes
tools,elasticserach,elasticsearch
tools,agi,agit
