technicalTags,mapped_technicalTags
"AWS Lambda, MySQL, AWS RDS, GitHub, Git, Spring, Java, FastAPI, Flask, Python, Django","('mysql', 'B-TOOL')"
"AWS Lambda, MySQL, AWS RDS, GitHub, Git, Spring, Java, FastAPI, Flask, Python, Django","('github', 'B-TOOL')"
"AWS Lambda, MySQL, AWS RDS, GitHub, Git, Spring, Java, FastAPI, Flask, Python, Django","('git', 'B-TOOL')"
"AWS Lambda, MySQL, AWS RDS, GitHub, Git, Spring, Java, FastAPI, Flask, Python, Django","('spring', 'B-FRAME')"
"AWS Lambda, MySQL, AWS RDS, GitHub, Git, Spring, Java, FastAPI, Flask, Python, Django","('java', 'B-LANG')"
"AWS Lambda, MySQL, AWS RDS, GitHub, Git, Spring, Java, FastAPI, Flask, Python, Django","('fastapi', 'B-FRAME')"
"AWS Lambda, MySQL, AWS RDS, GitHub, Git, Spring, Java, FastAPI, Flask, Python, Django","('flask', 'B-FRAME')"
"AWS Lambda, MySQL, AWS RDS, GitHub, Git, Spring, Java, FastAPI, Flask, Python, Django","('python', 'B-LANG')"
"AWS Lambda, MySQL, AWS RDS, GitHub, Git, Spring, Java, FastAPI, Flask, Python, Django","('django', 'B-FRAME')"
"ASP.NET, Docker, Linux","('docker', 'B-TOOL')"
"Java, MySQL, Python, Redis, Spring, Aurora DB, AWS Redshift, Gradle, Apache Maven, RabbitMQ, AWS Simple Queue Service(AWS SQS), JPA(Java Persistent API), Spring Boot, Git, JIRA, Docker, GitHub, JUnit, GitHub Actions","('java', 'B-LANG')"
"Java, MySQL, Python, Redis, Spring, Aurora DB, AWS Redshift, Gradle, Apache Maven, RabbitMQ, AWS Simple Queue Service(AWS SQS), JPA(Java Persistent API), Spring Boot, Git, JIRA, Docker, GitHub, JUnit, GitHub Actions","('mysql', 'B-TOOL')"
"Java, MySQL, Python, Redis, Spring, Aurora DB, AWS Redshift, Gradle, Apache Maven, RabbitMQ, AWS Simple Queue Service(AWS SQS), JPA(Java Persistent API), Spring Boot, Git, JIRA, Docker, GitHub, JUnit, GitHub Actions","('python', 'B-LANG')"
"Java, MySQL, Python, Redis, Spring, Aurora DB, AWS Redshift, Gradle, Apache Maven, RabbitMQ, AWS Simple Queue Service(AWS SQS), JPA(Java Persistent API), Spring Boot, Git, JIRA, Docker, GitHub, JUnit, GitHub Actions","('redis', 'B-TOOL')"
"Java, MySQL, Python, Redis, Spring, Aurora DB, AWS Redshift, Gradle, Apache Maven, RabbitMQ, AWS Simple Queue Service(AWS SQS), JPA(Java Persistent API), Spring Boot, Git, JIRA, Docker, GitHub, JUnit, GitHub Actions","('spring', 'B-FRAME')"
"Java, MySQL, Python, Redis, Spring, Aurora DB, AWS Redshift, Gradle, Apache Maven, RabbitMQ, AWS Simple Queue Service(AWS SQS), JPA(Java Persistent API), Spring Boot, Git, JIRA, Docker, GitHub, JUnit, GitHub Actions","('aws redshift', 'B-TOOL')"
"Java, MySQL, Python, Redis, Spring, Aurora DB, AWS Redshift, Gradle, Apache Maven, RabbitMQ, AWS Simple Queue Service(AWS SQS), JPA(Java Persistent API), Spring Boot, Git, JIRA, Docker, GitHub, JUnit, GitHub Actions","('rabbitmq', 'B-TOOL')"
"Java, MySQL, Python, Redis, Spring, Aurora DB, AWS Redshift, Gradle, Apache Maven, RabbitMQ, AWS Simple Queue Service(AWS SQS), JPA(Java Persistent API), Spring Boot, Git, JIRA, Docker, GitHub, JUnit, GitHub Actions","('spring boot', 'B-FRAME')"
"Java, MySQL, Python, Redis, Spring, Aurora DB, AWS Redshift, Gradle, Apache Maven, RabbitMQ, AWS Simple Queue Service(AWS SQS), JPA(Java Persistent API), Spring Boot, Git, JIRA, Docker, GitHub, JUnit, GitHub Actions","('git', 'B-TOOL')"
"Java, MySQL, Python, Redis, Spring, Aurora DB, AWS Redshift, Gradle, Apache Maven, RabbitMQ, AWS Simple Queue Service(AWS SQS), JPA(Java Persistent API), Spring Boot, Git, JIRA, Docker, GitHub, JUnit, GitHub Actions","('jira', 'B-TOOL')"
"Java, MySQL, Python, Redis, Spring, Aurora DB, AWS Redshift, Gradle, Apache Maven, RabbitMQ, AWS Simple Queue Service(AWS SQS), JPA(Java Persistent API), Spring Boot, Git, JIRA, Docker, GitHub, JUnit, GitHub Actions","('docker', 'B-TOOL')"
"Java, MySQL, Python, Redis, Spring, Aurora DB, AWS Redshift, Gradle, Apache Maven, RabbitMQ, AWS Simple Queue Service(AWS SQS), JPA(Java Persistent API), Spring Boot, Git, JIRA, Docker, GitHub, JUnit, GitHub Actions","('github', 'B-TOOL')"
"Java, MySQL, Python, Redis, Spring, Aurora DB, AWS Redshift, Gradle, Apache Maven, RabbitMQ, AWS Simple Queue Service(AWS SQS), JPA(Java Persistent API), Spring Boot, Git, JIRA, Docker, GitHub, JUnit, GitHub Actions","('junit', 'B-FRAME')"
"C++, Python, Swift","('c++', 'B-LANG')"
"C++, Python, Swift","('python', 'B-LANG')"
"C++, Python, Swift","('swift', 'B-LANG')"
"Android, Java, Kotlin","('java', 'B-LANG')"
"Android, Java, Kotlin","('kotlin', 'B-LANG')"
"Android, Java, Realm","('java', 'B-LANG')"
"ReactJS, TypeScript, Redux.js, Vanilla JS, Webpack, Storybook, GitHub, ESLint","('reactjs', 'B-LIB')"
"ReactJS, TypeScript, Redux.js, Vanilla JS, Webpack, Storybook, GitHub, ESLint","('typescript', 'B-LANG')"
"ReactJS, TypeScript, Redux.js, Vanilla JS, Webpack, Storybook, GitHub, ESLint","('storybook', 'B-TOOL')"
"ReactJS, TypeScript, Redux.js, Vanilla JS, Webpack, Storybook, GitHub, ESLint","('github', 'B-TOOL')"
"ReactJS, TypeScript, NestJS","('reactjs', 'B-LIB')"
"ReactJS, TypeScript, NestJS","('typescript', 'B-LANG')"
"ReactJS, TypeScript, NestJS","('nestjs', 'B-FRAME')"
"Node.js, ExpressJS, TypeScript, MySQL, Google Cloud Platform","('expressjs', 'B-FRAME')"
"Node.js, ExpressJS, TypeScript, MySQL, Google Cloud Platform","('typescript', 'B-LANG')"
"Node.js, ExpressJS, TypeScript, MySQL, Google Cloud Platform","('mysql', 'B-TOOL')"
"Docker, Java, MySQL, JavaScript, Node.js, Spring, JPA(Java Persistent API), Spring Boot, Apache Kafka","('docker', 'B-TOOL')"
"Docker, Java, MySQL, JavaScript, Node.js, Spring, JPA(Java Persistent API), Spring Boot, Apache Kafka","('java', 'B-LANG')"
"Docker, Java, MySQL, JavaScript, Node.js, Spring, JPA(Java Persistent API), Spring Boot, Apache Kafka","('mysql', 'B-TOOL')"
"Docker, Java, MySQL, JavaScript, Node.js, Spring, JPA(Java Persistent API), Spring Boot, Apache Kafka","('javascript', 'B-LANG')"
"Docker, Java, MySQL, JavaScript, Node.js, Spring, JPA(Java Persistent API), Spring Boot, Apache Kafka","('spring', 'B-FRAME')"
"Docker, Java, MySQL, JavaScript, Node.js, Spring, JPA(Java Persistent API), Spring Boot, Apache Kafka","('spring boot', 'B-FRAME')"
"Vue.js, ReactJS, flutter, React Native, Swift, Kotlin, Java, Spring Boot","('reactjs', 'B-LIB')"
"Vue.js, ReactJS, flutter, React Native, Swift, Kotlin, Java, Spring Boot","('react native', 'B-FRAME')"
"Vue.js, ReactJS, flutter, React Native, Swift, Kotlin, Java, Spring Boot","('swift', 'B-LANG')"
