technicalTags,mapped_technicalTags
"AWS Lambda, MySQL, AWS RDS, GitHub, Git, Spring, Java, FastAPI, Flask, Python, Django","('aws lambda', 'O')"
"AWS Lambda, MySQL, AWS RDS, GitHub, Git, Spring, Java, FastAPI, Flask, Python, Django","('mysql', 'B-TOOL')"
"AWS Lambda, MySQL, AWS RDS, GitHub, Git, Spring, Java, FastAPI, Flask, Python, Django","('aws rds', 'O')"
"AWS Lambda, MySQL, AWS RDS, GitHub, Git, Spring, Java, FastAPI, Flask, Python, Django","('github', 'B-TOOL')"
"AWS Lambda, MySQL, AWS RDS, GitHub, Git, Spring, Java, FastAPI, Flask, Python, Django","('git', 'B-TOOL')"
"AWS Lambda, MySQL, AWS RDS, GitHub, Git, Spring, Java, FastAPI, Flask, Python, Django","('spring', 'B-FRAME')"
"AWS Lambda, MySQL, AWS RDS, GitHub, Git, Spring, Java, FastAPI, Flask, Python, Django","('java', 'B-LANG')"
"AWS Lambda, MySQL, AWS RDS, GitHub, Git, Spring, Java, FastAPI, Flask, Python, Django","('fastapi', 'B-FRAME')"
"AWS Lambda, MySQL, AWS RDS, GitHub, Git, Spring, Java, FastAPI, Flask, Python, Django","('flask', 'B-FRAME')"
"AWS Lambda, MySQL, AWS RDS, GitHub, Git, Spring, Java, FastAPI, Flask, Python, Django","('python', 'B-LANG')"
"AWS Lambda, MySQL, AWS RDS, GitHub, Git, Spring, Java, FastAPI, Flask, Python, Django","('django', 'B-FRAME')"
"ASP.NET, Docker, Linux","('asp.net', 'O')"
"ASP.NET, Docker, Linux","('docker', 'B-TOOL')"
"ASP.NET, Docker, Linux","('linux', 'O')"
"Java, MySQL, Python, Redis, Spring, Aurora DB, AWS Redshift, Gradle, Apache Maven, RabbitMQ, AWS Simple Queue Service(AWS SQS), JPA(Java Persistent API), Spring Boot, Git, JIRA, Docker, GitHub, JUnit, GitHub Actions","('java', 'B-LANG')"
"Java, MySQL, Python, Redis, Spring, Aurora DB, AWS Redshift, Gradle, Apache Maven, RabbitMQ, AWS Simple Queue Service(AWS SQS), JPA(Java Persistent API), Spring Boot, Git, JIRA, Docker, GitHub, JUnit, GitHub Actions","('mysql', 'B-TOOL')"
"Java, MySQL, Python, Redis, Spring, Aurora DB, AWS Redshift, Gradle, Apache Maven, RabbitMQ, AWS Simple Queue Service(AWS SQS), JPA(Java Persistent API), Spring Boot, Git, JIRA, Docker, GitHub, JUnit, GitHub Actions","('python', 'B-LANG')"
"Java, MySQL, Python, Redis, Spring, Aurora DB, AWS Redshift, Gradle, Apache Maven, RabbitMQ, AWS Simple Queue Service(AWS SQS), JPA(Java Persistent API), Spring Boot, Git, JIRA, Docker, GitHub, JUnit, GitHub Actions","('redis', 'B-TOOL')"
"Java, MySQL, Python, Redis, Spring, Aurora DB, AWS Redshift, Gradle, Apache Maven, RabbitMQ, AWS Simple Queue Service(AWS SQS), JPA(Java Persistent API), Spring Boot, Git, JIRA, Docker, GitHub, JUnit, GitHub Actions","('spring', 'B-FRAME')"
"Java, MySQL, Python, Redis, Spring, Aurora DB, AWS Redshift, Gradle, Apache Maven, RabbitMQ, AWS Simple Queue Service(AWS SQS), JPA(Java Persistent API), Spring Boot, Git, JIRA, Docker, GitHub, JUnit, GitHub Actions","('aurora db', 'O')"
"Java, MySQL, Python, Redis, Spring, Aurora DB, AWS Redshift, Gradle, Apache Maven, RabbitMQ, AWS Simple Queue Service(AWS SQS), JPA(Java Persistent API), Spring Boot, Git, JIRA, Docker, GitHub, JUnit, GitHub Actions","('aws redshift', 'B-TOOL')"
"Java, MySQL, Python, Redis, Spring, Aurora DB, AWS Redshift, Gradle, Apache Maven, RabbitMQ, AWS Simple Queue Service(AWS SQS), JPA(Java Persistent API), Spring Boot, Git, JIRA, Docker, GitHub, JUnit, GitHub Actions","('gradle', 'O')"
"Java, MySQL, Python, Redis, Spring, Aurora DB, AWS Redshift, Gradle, Apache Maven, RabbitMQ, AWS Simple Queue Service(AWS SQS), JPA(Java Persistent API), Spring Boot, Git, JIRA, Docker, GitHub, JUnit, GitHub Actions","('apache maven', 'O')"
"Java, MySQL, Python, Redis, Spring, Aurora DB, AWS Redshift, Gradle, Apache Maven, RabbitMQ, AWS Simple Queue Service(AWS SQS), JPA(Java Persistent API), Spring Boot, Git, JIRA, Docker, GitHub, JUnit, GitHub Actions","('rabbitmq', 'B-TOOL')"
"Java, MySQL, Python, Redis, Spring, Aurora DB, AWS Redshift, Gradle, Apache Maven, RabbitMQ, AWS Simple Queue Service(AWS SQS), JPA(Java Persistent API), Spring Boot, Git, JIRA, Docker, GitHub, JUnit, GitHub Actions","('aws simple queue service(aws sqs)', 'O')"
"Java, MySQL, Python, Redis, Spring, Aurora DB, AWS Redshift, Gradle, Apache Maven, RabbitMQ, AWS Simple Queue Service(AWS SQS), JPA(Java Persistent API), Spring Boot, Git, JIRA, Docker, GitHub, JUnit, GitHub Actions","('jpa(java persistent api)', 'O')"
"Java, MySQL, Python, Redis, Spring, Aurora DB, AWS Redshift, Gradle, Apache Maven, RabbitMQ, AWS Simple Queue Service(AWS SQS), JPA(Java Persistent API), Spring Boot, Git, JIRA, Docker, GitHub, JUnit, GitHub Actions","('spring boot', 'B-FRAME')"
