technicalTags,mapped_technicalTags
"AWS Lambda, MySQL, AWS RDS, GitHub, Git, Spring, Java, FastAPI, Flask, Python, Django","('aws lambda', 'O')"
"AWS Lambda, MySQL, AWS RDS, GitHub, Git, Spring, Java, FastAPI, Flask, Python, Django","('aws rds', 'O')"
"ASP.NET, Docker, Linux","('asp.net', 'O')"
"ASP.NET, Docker, Linux","('linux', 'O')"
"Java, MySQL, Python, Redis, Spring, Aurora DB, AWS Redshift, Gradle, Apache Maven, RabbitMQ, AWS Simple Queue Service(AWS SQS), JPA(Java Persistent API), Spring Boot, Git, JIRA, Docker, GitHub, JUnit, GitHub Actions","('aurora db', 'O')"
"Java, MySQL, Python, Redis, Spring, Aurora DB, AWS Redshift, Gradle, Apache Maven, RabbitMQ, AWS Simple Queue Service(AWS SQS), JPA(Java Persistent API), Spring Boot, Git, JIRA, Docker, GitHub, JUnit, GitHub Actions","('gradle', 'O')"
"Java, MySQL, Python, Redis, Spring, Aurora DB, AWS Redshift, Gradle, Apache Maven, RabbitMQ, AWS Simple Queue Service(AWS SQS), JPA(Java Persistent API), Spring Boot, Git, JIRA, Docker, GitHub, JUnit, GitHub Actions","('apache maven', 'O')"
"Java, MySQL, Python, Redis, Spring, Aurora DB, AWS Redshift, Gradle, Apache Maven, RabbitMQ, AWS Simple Queue Service(AWS SQS), JPA(Java Persistent API), Spring Boot, Git, JIRA, Docker, GitHub, JUnit, GitHub Actions","('aws simple queue service(aws sqs)', 'O')"
"Java, MySQL, Python, Redis, Spring, Aurora DB, AWS Redshift, Gradle, Apache Maven, RabbitMQ, AWS Simple Queue Service(AWS SQS), JPA(Java Persistent API), Spring Boot, Git, JIRA, Docker, GitHub, JUnit, GitHub Actions","('jpa(java persistent api)', 'O')"
"Java, MySQL, Python, Redis, Spring, Aurora DB, AWS Redshift, Gradle, Apache Maven, RabbitMQ, AWS Simple Queue Service(AWS SQS), JPA(Java Persistent API), Spring Boot, Git, JIRA, Docker, GitHub, JUnit, GitHub Actions","('github actions', 'O')"
"AWS EC2, Azure, Clean Architecture","('aws ec2', 'O')"
"AWS EC2, Azure, Clean Architecture","('azure', 'O')"
"AWS EC2, Azure, Clean Architecture","('clean architecture', 'O')"
"Android, Java, Kotlin","('android', 'O')"
"Android, Java, Realm","('android', 'O')"
"Android, Java, Realm","('realm', 'O')"
"ReactJS, TypeScript, Redux.js, Vanilla JS, Webpack, Storybook, GitHub, ESLint","('redux.js', 'O')"
"ReactJS, TypeScript, Redux.js, Vanilla JS, Webpack, Storybook, GitHub, ESLint","('vanilla js', 'O')"
"ReactJS, TypeScript, Redux.js, Vanilla JS, Webpack, Storybook, GitHub, ESLint","('webpack', 'O')"
"ReactJS, TypeScript, Redux.js, Vanilla JS, Webpack, Storybook, GitHub, ESLint","('eslint', 'O')"
"Linux, Windows","('linux', 'O')"
"Linux, Windows","('windows', 'O')"
"Node.js, ExpressJS, TypeScript, MySQL, Google Cloud Platform","('node.js', 'O')"
"Node.js, ExpressJS, TypeScript, MySQL, Google Cloud Platform","('google cloud platform', 'O')"
"Windows, Linux, Unix","('windows', 'O')"
"Windows, Linux, Unix","('linux', 'O')"
"Windows, Linux, Unix","('unix', 'O')"
"Docker, Java, MySQL, JavaScript, Node.js, Spring, JPA(Java Persistent API), Spring Boot, Apache Kafka","('node.js', 'O')"
"Docker, Java, MySQL, JavaScript, Node.js, Spring, JPA(Java Persistent API), Spring Boot, Apache Kafka","('jpa(java persistent api)', 'O')"
"Docker, Java, MySQL, JavaScript, Node.js, Spring, JPA(Java Persistent API), Spring Boot, Apache Kafka","('apache kafka', 'O')"
"Linux, Windows","('linux', 'O')"
"Linux, Windows","('windows', 'O')"
"Vue.js, ReactJS, flutter, React Native, Swift, Kotlin, Java, Spring Boot","('vue.js', 'O')"
