technicalTags,mapped_technicalTags
"AWS Lambda, MySQL, AWS RDS, GitHub, Git, Spring, Java, FastAPI, Flask, Python, Django","('aws lambda', 'B-TOOL')"
"AWS Lambda, MySQL, AWS RDS, GitHub, Git, Spring, Java, FastAPI, Flask, Python, Django","('aws rds', 'B-TOOL')"
"ASP.NET, Docker, Linux","('asp.net', 'B-FRAME')"
"ASP.NET, Docker, Linux","('linux', 'B-TOOL')"
"Java, MySQL, Python, Redis, Spring, Aurora DB, AWS Redshift, Gradle, Apache Maven, RabbitMQ, AWS Simple Queue Service(AWS SQS), JPA(Java Persistent API), Spring Boot, Git, JIRA, Docker, GitHub, JUnit, GitHub Actions","('aurora db', 'B-TOOL')"
"Java, MySQL, Python, Redis, Spring, Aurora DB, AWS Redshift, Gradle, Apache Maven, RabbitMQ, AWS Simple Queue Service(AWS SQS), JPA(Java Persistent API), Spring Boot, Git, JIRA, Docker, GitHub, JUnit, GitHub Actions","('gradle', 'B-TOOL')"
"Java, MySQL, Python, Redis, Spring, Aurora DB, AWS Redshift, Gradle, Apache Maven, RabbitMQ, AWS Simple Queue Service(AWS SQS), JPA(Java Persistent API), Spring Boot, Git, JIRA, Docker, GitHub, JUnit, GitHub Actions","('apache maven', 'B-TOOL')"
"Java, MySQL, Python, Redis, Spring, Aurora DB, AWS Redshift, Gradle, Apache Maven, RabbitMQ, AWS Simple Queue Service(AWS SQS), JPA(Java Persistent API), Spring Boot, Git, JIRA, Docker, GitHub, JUnit, GitHub Actions","('aws simple queue service(aws sqs)', 'B-TOOL')"
"Java, MySQL, Python, Redis, Spring, Aurora DB, AWS Redshift, Gradle, Apache Maven, RabbitMQ, AWS Simple Queue Service(AWS SQS), JPA(Java Persistent API), Spring Boot, Git, JIRA, Docker, GitHub, JUnit, GitHub Actions","('jpa(java persistent api)', 'B-LIB')"
"Java, MySQL, Python, Redis, Spring, Aurora DB, AWS Redshift, Gradle, Apache Maven, RabbitMQ, AWS Simple Queue Service(AWS SQS), JPA(Java Persistent API), Spring Boot, Git, JIRA, Docker, GitHub, JUnit, GitHub Actions","('github actions', 'B-TOOL')"
"AWS EC2, Azure, Clean Architecture","('aws ec2', 'B-TOOL')"
"AWS EC2, Azure, Clean Architecture","('azure', 'B-TOOL')"
"AWS EC2, Azure, Clean Architecture","('clean architecture', 'B-FRAME')"
